family,support_regime,method,entity_id,r2,nrmse
polynomial,four_support,direct_target_omp_lambda_0.0,0,0.9999674100255037,0.0057087629567427025
polynomial,four_support,direct_target_omp_lambda_0.0,1,0.9994751900906697,0.022908729980738608
polynomial,four_support,direct_target_omp_lambda_0.0,2,0.9998383362472325,0.01271470616127406
polynomial,four_support,direct_target_omp_lambda_0.0,3,0.9999413597393315,0.007657692907686678
polynomial,four_support,direct_target_omp_lambda_0.0,4,0.999506606559952,0.022212461368520186
polynomial,four_support,direct_target_omp_lambda_0.0,5,0.9999770108683687,0.0047946982836643065
polynomial,four_support,direct_target_omp_lambda_0.0,6,0.9999325299954355,0.008214012695663978
polynomial,four_support,direct_target_omp_lambda_0.0,7,0.9992775853600832,0.02687777222756391
polynomial,four_support,direct_target_omp_lambda_0.0,8,0.9999469346515245,0.007284596658393466
polynomial,four_support,direct_target_omp_lambda_0.0,9,0.9781158270617455,0.14793300151843922
polynomial,four_support,direct_target_omp_lambda_0.0,10,0.9990404296696868,0.03097693222889081
polynomial,four_support,direct_target_omp_lambda_0.0,11,0.9963038726716642,0.06079578380394278
polynomial,four_support,direct_target_omp_lambda_0.0,12,0.9982114476636812,0.04229127967227727
polynomial,four_support,direct_target_omp_lambda_0.0,13,0.9999468144340616,0.007292843474142034
polynomial,four_support,direct_target_omp_lambda_0.0,14,0.9999422220741515,0.007601179240652736
polynomial,four_support,direct_target_omp_lambda_0.0,15,0.9999381700314106,0.007863203455931585
polynomial,four_support,direct_target_omp_lambda_0.0,16,0.9995607281249668,0.020958813779249862
polynomial,four_support,direct_target_omp_lambda_0.0,17,0.9998491401315909,0.012282502530394224
polynomial,four_support,direct_target_omp_lambda_0.0,18,0.9999730018990196,0.005195969686243263
polynomial,four_support,direct_target_omp_lambda_0.0,19,0.9998377450236102,0.012737934541745157
polynomial,four_support,direct_target_omp_lambda_0.0,20,0.9999660083651831,0.005830234542182373
polynomial,four_support,direct_target_omp_lambda_0.0,21,0.9999302787506893,0.008349925108089667
polynomial,four_support,direct_target_omp_lambda_0.0,22,0.9999262559712278,0.008587434353299004
polynomial,four_support,direct_target_omp_lambda_0.0,23,0.99994881664327,0.007154254449628363
polynomial,four_support,direct_target_omp_lambda_0.0,24,0.9999356628071493,0.008021046867506366
polynomial,four_support,direct_target_omp_lambda_0.0,25,0.9999503785214793,0.0070442514521236975
polynomial,four_support,direct_target_omp_lambda_0.0,26,0.9996896564453654,0.017616570456094605
polynomial,four_support,direct_target_omp_lambda_0.0,27,0.9993161725894731,0.02615009389135893
polynomial,four_support,direct_target_omp_lambda_0.0,28,0.9998936080487044,0.010314647414989608
polynomial,four_support,direct_target_omp_lambda_0.0,29,0.9999626881922812,0.006108339194804617
polynomial,four_support,direct_target_omp_lambda_0.0,30,0.998371933783934,0.04034930254745525
polynomial,four_support,direct_target_omp_lambda_0.0,31,0.9992983307001045,0.026489041128275354
polynomial,four_support,direct_target_omp_lambda_0.0,32,0.999360431746746,0.025289686697425866
polynomial,four_support,direct_target_omp_lambda_0.0,33,0.9999669990751604,0.005744643142927021
polynomial,four_support,direct_target_omp_lambda_0.0,34,0.9942366252972331,0.07591689339512597
polynomial,four_support,direct_target_omp_lambda_0.0,35,0.9998869414848707,0.010632897776678526
polynomial,four_support,direct_target_omp_lambda_0.0,36,0.9998738169695367,0.011233122026546092
polynomial,four_support,direct_target_omp_lambda_0.0,37,0.9999183096709904,0.009038270244336845
polynomial,four_support,direct_target_omp_lambda_0.0,38,0.9974128337862718,0.05086419382756583
polynomial,four_support,direct_target_omp_lambda_0.0,39,0.9999047346326082,0.00976039791155018
polynomial,four_support,direct_target_omp_lambda_0.0,40,0.9996102277209895,0.019742651265989928
polynomial,four_support,direct_target_omp_lambda_0.0,41,0.9998619076641859,0.011751269540526564
polynomial,four_support,direct_target_omp_lambda_0.0,42,0.9998593663789748,0.011858904714400957
polynomial,four_support,direct_target_omp_lambda_0.0,43,0.9999563054921478,0.006610182134577587
polynomial,four_support,direct_target_omp_lambda_0.0,44,0.9996448950945055,0.018844227378551397
polynomial,four_support,direct_target_omp_lambda_0.0,45,0.9999002735265494,0.009986314307617617
polynomial,four_support,direct_target_omp_lambda_0.0,46,0.9998210874315981,0.013375820288935475
polynomial,four_support,direct_target_omp_lambda_0.0,47,0.9999771434701722,0.004780850324766566
polynomial,four_support,fpca,0,0.9999548027334481,0.0067228912345796915
polynomial,four_support,fpca,1,0.9994460518162499,0.02353610383538736
polynomial,four_support,fpca,2,0.9998656011766868,0.011593050647402087
polynomial,four_support,fpca,3,0.9998858916635172,0.010682150367919668
polynomial,four_support,fpca,4,0.9992844557125397,0.02674965957653207
polynomial,four_support,fpca,5,0.9999789232173816,0.004590945721573702
polynomial,four_support,fpca,6,0.9999693409798407,0.005537058800415726
polynomial,four_support,fpca,7,0.999686282133106,0.017712082511496027
polynomial,four_support,fpca,8,0.9999281455366048,0.008476701209504675
polynomial,four_support,fpca,9,0.9808073055669515,0.1385377004033503
polynomial,four_support,fpca,10,0.9992182952859953,0.027958982706900223
polynomial,four_support,fpca,11,0.9957311361917272,0.06533654267156187
polynomial,four_support,fpca,12,0.9983290356543887,0.04087743076088997
polynomial,four_support,fpca,13,0.9999733256451915,0.005164722142431063
polynomial,four_support,fpca,14,0.9999600043676795,0.006324210015530794
polynomial,four_support,fpca,15,0.9999578686644379,0.006490865547993033
polynomial,four_support,fpca,16,0.9996462898476247,0.01880718353117331
polynomial,four_support,fpca,17,0.9998218248944618,0.01334822480849632
polynomial,four_support,fpca,18,0.9999798264419909,0.004491498414680146
polynomial,four_support,fpca,19,0.9999156030274851,0.009186782489803803
polynomial,four_support,fpca,20,0.9999685854604993,0.005604867482889509
polynomial,four_support,fpca,21,0.9999307022553544,0.008324526691984736
polynomial,four_support,fpca,22,0.9999535371208057,0.006816368475538365
polynomial,four_support,fpca,23,0.9999605825184706,0.006278334295765345
polynomial,four_support,fpca,24,0.9999259661411846,0.008604293045653612
polynomial,four_support,fpca,25,0.9999603707842208,0.006295174007062888
polynomial,four_support,fpca,26,0.9996546898240638,0.018582523400664692
polynomial,four_support,fpca,27,0.9992132941542378,0.02804827705514624
polynomial,four_support,fpca,28,0.999868551653333,0.011465092527627558
polynomial,four_support,fpca,29,0.9999745935466003,0.005040481465068336
polynomial,four_support,fpca,30,0.9980008149005547,0.04471224775657394
polynomial,four_support,fpca,31,0.9998855287862781,0.010699122100521537
polynomial,four_support,fpca,32,0.9995822832797863,0.020438119292482966
polynomial,four_support,fpca,33,0.99994688625043,0.007287918054558332
polynomial,four_support,fpca,34,0.9932293018949543,0.08228425186538227
polynomial,four_support,fpca,35,0.9999109809520832,0.009434990615616359
polynomial,four_support,fpca,36,0.9999094055706189,0.009518110599327929
polynomial,four_support,fpca,37,0.9999309688123287,0.008308500928045668
polynomial,four_support,fpca,38,0.9983638142432216,0.040449793037521914
polynomial,four_support,fpca,39,0.9999141980102356,0.009262936346774662
polynomial,four_support,fpca,40,0.9996925150392584,0.0175352490926581
polynomial,four_support,fpca,41,0.9999640259689968,0.0059978355265246025
polynomial,four_support,fpca,42,0.999904593103902,0.009767645371221238
polynomial,four_support,fpca,43,0.9999492823082459,0.0071216354690560365
polynomial,four_support,fpca,44,0.9996420673872483,0.0189191070812477
polynomial,four_support,fpca,45,0.999901892358973,0.0099049301374133
polynomial,four_support,fpca,46,0.9999636947205505,0.006025386248994567
polynomial,four_support,fpca,47,0.9999703207875017,0.0054478631130339674
polynomial,four_support,gird_adam_lambda_0.0,0,0.9999671781033957,0.00572903976284379
polynomial,four_support,gird_adam_lambda_0.0,1,0.9995043754486697,0.02226262678415037
polynomial,four_support,gird_adam_lambda_0.0,2,0.9998462078303416,0.01240129709580445
polynomial,four_support,gird_adam_lambda_0.0,3,0.9999341105680765,0.008117230557494694
polynomial,four_support,gird_adam_lambda_0.0,4,0.9994903247911655,0.022575987438746867
polynomial,four_support,gird_adam_lambda_0.0,5,0.999977014886262,0.004794279272002632
polynomial,four_support,gird_adam_lambda_0.0,6,0.9999437495626236,0.007500029158371411
polynomial,four_support,gird_adam_lambda_0.0,7,0.9994062086151891,0.024367835045626545
polynomial,four_support,gird_adam_lambda_0.0,8,0.9999472559935924,0.007262506895531148
polynomial,four_support,gird_adam_lambda_0.0,9,0.9787272512601126,0.14585180403370873
polynomial,four_support,gird_adam_lambda_0.0,10,0.9990388647276212,0.031002181735789048
polynomial,four_support,gird_adam_lambda_0.0,11,0.9961203904490274,0.06228651179005421
polynomial,four_support,gird_adam_lambda_0.0,12,0.9982864311168475,0.041395276097068626
polynomial,four_support,gird_adam_lambda_0.0,13,0.9999608519082754,0.00625684359118348
polynomial,four_support,gird_adam_lambda_0.0,14,0.9999491299019059,0.007132327677141626
polynomial,four_support,gird_adam_lambda_0.0,15,0.9999454067154313,0.0073887268570887975
polynomial,four_support,gird_adam_lambda_0.0,16,0.9996175777944617,0.019555618260191362
polynomial,four_support,gird_adam_lambda_0.0,17,0.9998499933044144,0.012247722057002947
polynomial,four_support,gird_adam_lambda_0.0,18,0.9999758405827766,0.004915223008521143
polynomial,four_support,gird_adam_lambda_0.0,19,0.9998635312789577,0.011681982753042613
polynomial,four_support,gird_adam_lambda_0.0,20,0.9999665280680436,0.005785493233626503
polynomial,four_support,gird_adam_lambda_0.0,21,0.999931311567538,0.008287848482086552
polynomial,four_support,gird_adam_lambda_0.0,22,0.999931888126454,0.0082529917936503
polynomial,four_support,gird_adam_lambda_0.0,23,0.9999488001078267,0.007155409993374254
polynomial,four_support,gird_adam_lambda_0.0,24,0.9999369212548054,0.007942212865104986
polynomial,four_support,gird_adam_lambda_0.0,25,0.9999514138105942,0.006970379430553906
polynomial,four_support,gird_adam_lambda_0.0,26,0.9996904817576359,0.01759313054473701
polynomial,four_support,gird_adam_lambda_0.0,27,0.999282404531014,0.02678797246874107
polynomial,four_support,gird_adam_lambda_0.0,28,0.9998992362691882,0.010038113907096967
polynomial,four_support,gird_adam_lambda_0.0,29,0.9999654280544467,0.0058797912848414895
polynomial,four_support,gird_adam_lambda_0.0,30,0.9982660901527607,0.041640243121760845
polynomial,four_support,gird_adam_lambda_0.0,31,0.9994847956325353,0.022698113742438165
polynomial,four_support,gird_adam_lambda_0.0,32,0.9994128562988228,0.024231048288861346
polynomial,four_support,gird_adam_lambda_0.0,33,0.9999641552705328,0.005987046806828659
polynomial,four_support,gird_adam_lambda_0.0,34,0.9940989441791941,0.07681832997928272
polynomial,four_support,gird_adam_lambda_0.0,35,0.9998931998943467,0.01033441365793414
polynomial,four_support,gird_adam_lambda_0.0,36,0.9998819896088043,0.010863258774224338
polynomial,four_support,gird_adam_lambda_0.0,37,0.9999168583485551,0.009118204398060378
polynomial,four_support,gird_adam_lambda_0.0,38,0.997614368405623,0.04884292778260766
polynomial,four_support,gird_adam_lambda_0.0,39,0.9999127234206407,0.009342193498274746
polynomial,four_support,gird_adam_lambda_0.0,40,0.9996579351458689,0.018494995380672407
polynomial,four_support,gird_adam_lambda_0.0,41,0.9998895924426635,0.010507500051702092
polynomial,four_support,gird_adam_lambda_0.0,42,0.999878150712505,0.011038536474327214
polynomial,four_support,gird_adam_lambda_0.0,43,0.9999564769059585,0.0065972035016031525
polynomial,four_support,gird_adam_lambda_0.0,44,0.9996551863693411,0.018569158049270937
polynomial,four_support,gird_adam_lambda_0.0,45,0.9999030620461954,0.009845707379592183
polynomial,four_support,gird_adam_lambda_0.0,46,0.9998737082156387,0.01123796175297412
polynomial,four_support,gird_adam_lambda_0.0,47,0.9999769769717038,0.004798231788495674
polynomial,four_support,gird_adam_lambda_inf,0,0.9998577428949336,0.011927158298036884
polynomial,four_support,gird_adam_lambda_inf,1,0.9985885923754593,0.03756870538813834
polynomial,four_support,gird_adam_lambda_inf,2,0.9998069714141908,0.01389347277714218
polynomial,four_support,gird_adam_lambda_inf,3,0.999576349095982,0.020582781736636645
polynomial,four_support,gird_adam_lambda_inf,4,0.9956109940805938,0.06624957297527403
polynomial,four_support,gird_adam_lambda_inf,5,0.9999805910363886,0.004405560533162596
polynomial,four_support,gird_adam_lambda_inf,6,0.9996397902898654,0.018979191503711978
polynomial,four_support,gird_adam_lambda_inf,7,0.9995672938598136,0.020801589847567126
polynomial,four_support,gird_adam_lambda_inf,8,0.9989546636568595,0.032331661620468674
polynomial,four_support,gird_adam_lambda_inf,9,0.9730197328675131,0.1642567110729022
polynomial,four_support,gird_adam_lambda_inf,10,0.9932130490971544,0.08238295274415455
polynomial,four_support,gird_adam_lambda_inf,11,0.9954049810221243,0.06778656930303932
polynomial,four_support,gird_adam_lambda_inf,12,0.9879093853365057,0.10995733110390703
polynomial,four_support,gird_adam_lambda_inf,13,0.999199336109116,0.02829600485729302
polynomial,four_support,gird_adam_lambda_inf,14,0.999635505855684,0.019091729736092647
polynomial,four_support,gird_adam_lambda_inf,15,0.9992849520467715,0.026740380573740636
polynomial,four_support,gird_adam_lambda_inf,16,0.9994710471951109,0.0229989739964442
polynomial,four_support,gird_adam_lambda_inf,17,0.9996675419407112,0.018233432460423766
polynomial,four_support,gird_adam_lambda_inf,18,0.9999774060143996,0.004753313118281729
polynomial,four_support,gird_adam_lambda_inf,19,0.9999306425663227,0.008328111050968146
polynomial,four_support,gird_adam_lambda_inf,20,0.9998213306477611,0.013366725561589344
polynomial,four_support,gird_adam_lambda_inf,21,0.9995105193246739,0.022124210162762437
polynomial,four_support,gird_adam_lambda_inf,22,0.9995153048178027,0.02201579392611756
polynomial,four_support,gird_adam_lambda_inf,23,0.9994474949242446,0.02350542651719972
polynomial,four_support,gird_adam_lambda_inf,24,0.9998948398249827,0.010254763528103575
polynomial,four_support,gird_adam_lambda_inf,25,0.9998687250638908,0.011457527486732845
polynomial,four_support,gird_adam_lambda_inf,26,0.9958992501766606,0.06403709724323377
polynomial,four_support,gird_adam_lambda_inf,27,0.996398084211242,0.06001596278289609
polynomial,four_support,gird_adam_lambda_inf,28,0.9997789430877257,0.014867982791027398
polynomial,four_support,gird_adam_lambda_inf,29,0.9995147349688076,0.022028731946991283
polynomial,four_support,gird_adam_lambda_inf,30,0.9939834631406455,0.07756633844235851
polynomial,four_support,gird_adam_lambda_inf,31,0.997962344471974,0.04514039796043006
polynomial,four_support,gird_adam_lambda_inf,32,0.9964255660881559,0.059786569661121156
polynomial,four_support,gird_adam_lambda_inf,33,0.9999668104113135,0.0057610405905950115
polynomial,four_support,gird_adam_lambda_inf,34,0.9951416550260764,0.06970182905723203
polynomial,four_support,gird_adam_lambda_inf,35,0.9993080203282272,0.026305506491470138
polynomial,four_support,gird_adam_lambda_inf,36,0.9995589782648714,0.021000517496685876
polynomial,four_support,gird_adam_lambda_inf,37,0.997718119309263,0.04776903485247542
polynomial,four_support,gird_adam_lambda_inf,38,0.9946976484509233,0.07281724760712008
polynomial,four_support,gird_adam_lambda_inf,39,0.9998228653451067,0.013309194374317448
polynomial,four_support,gird_adam_lambda_inf,40,0.9946212746210146,0.07333979396606906
polynomial,four_support,gird_adam_lambda_inf,41,0.9999233917291283,0.008752615087601166
polynomial,four_support,gird_adam_lambda_inf,42,0.9998013160134792,0.014095530728594256
polynomial,four_support,gird_adam_lambda_inf,43,0.9997269854392098,0.016523152265538653
polynomial,four_support,gird_adam_lambda_inf,44,0.9994431718008464,0.02359720744396645
polynomial,four_support,gird_adam_lambda_inf,45,0.999165520355423,0.028887361329427975
polynomial,four_support,gird_adam_lambda_inf,46,0.9998426689992195,0.012543165500803139
polynomial,four_support,gird_adam_lambda_inf,47,0.9998571530159743,0.011951861111377051
