family,support_regime,method,pooled_r2,pooled_nrmse,median_entity_nrmse
polynomial,four_support,direct_target_omp_lambda_0.0,0.999943737212323,0.007500852463356513,0.01093300990161231
polynomial,four_support,fpca,0.9999566301697382,0.0065855774433043945,0.009476550607472144
polynomial,four_support,gird_adam_lambda_0.0,0.9999488052062065,0.00715505372401218,0.010420956854818116
polynomial,four_support,gird_adam_lambda_inf,0.9997322096513441,0.016364301043914124,0.02207647105487686
polynomial,four_support,gird_adam_selected,0.9999488052062065,0.00715505372401218,0.010420956854818116
polynomial,four_support,gird_gn_lambda_0.0,0.9999488052062065,0.00715505372401218,0.010420956854818116
polynomial,four_support,gird_gn_lambda_inf,0.9997322095191888,0.016364305081828106,0.02207645083262416
polynomial,four_support,gird_gn_selected,0.9999488052062065,0.00715505372401218,0.010420956854818116
polynomial,four_support,global_no_q,-0.016546738959160923,1.008239425414004,1.3201590176704878
polynomial,four_support,ordinary_symbolic_regression,0.9993321454379981,0.02584288223093367,0.024776866874810066
polynomial,four_support,raw_q,0.9986574832650555,0.03664037028940121,0.043214728063269536
polynomial,four_support,support_only_omp_lambda_0.0,0.9999488052062065,0.00715505372401218,0.010420956854818116
polynomial,four_support,true_basis_lambda_0.0,0.99995800792826,0.006480128991003946,0.009357242099077748
polynomial,four_support,true_basis_lambda_0.1,0.9999606373881325,0.006273963011327927,0.00904894650491411
polynomial,four_support,true_basis_lambda_inf,0.9999422125616027,0.007601804943388444,0.010760941282267358
polynomial,standard_11,direct_target_omp_lambda_0.0,0.9999673671287271,0.005712518820351566,0.008403299371806495
polynomial,standard_11,fpca,0.9999676287247163,0.005689576019678955,0.008280786559803414
polynomial,standard_11,gird_adam_lambda_0.0,0.9999670082043004,0.005743848509459296,0.008482832243622729
polynomial,standard_11,gird_adam_lambda_0.1,0.9999650146041099,0.005914845381752576,0.008288738877760542
polynomial,standard_11,gird_adam_lambda_inf,0.9997461004447971,0.015934225905358243,0.021759765987590517
polynomial,standard_11,gird_adam_selected,0.9999670082043004,0.005743848509459296,0.008482832243622729
polynomial,standard_11,gird_gn_lambda_0.0,0.9999670082043004,0.005743848509459296,0.008482832243622729
