method,regime,n,nrmse_median,nrmse_q1,nrmse_q3,nrmse_max,meta_fit_nrmse_median,complexity_median,validation_z_median,validation_z_max,nrmse_gt_10,nrmse_gt_100
baseline,condition_only,15,0.9365103139872473,0.8550797824087459,0.9849699840170238,0.9849791511833871,0.48259894247531165,11.0,2.233022624405563,2.24104872604023,0,0
baseline,condition_support_stats,15,1.0331821516413326,0.8577768236109982,1.1897144641675517,1.584485234294616,0.4499058159015412,12.0,4.576681484425463,4.597385011640487,0,0
joint_continuity_step1,condition_functional_q,15,1.7551907502422817,0.7779131042661491,2.565310501798809,151.2228914626551,0.42991105499194415,13.0,7.365833132071693,30.824715190519523,1,1
joint_continuity_step1,condition_raw_q,15,3.081231051379172,1.4952693306088536,40.51574964655809,26188527418761.145,0.4480020414730152,11.0,22.19154171581113,35.06199820441156,6,3
joint_mse_step1,condition_functional_q,15,0.9333202471008963,0.8282135541672294,3.416402055107702,25.297716702002443,0.43563047305389346,14.0,4.415555636072805,14.765434659999993,2,0
joint_mse_step1,condition_raw_q,15,1.298223546695866,0.8089076509237754,4.155430979751704,6.356848251170872e+44,0.438568625921816,11.0,12.379396278226455,25.111501360152722,2,2
