family,pooled_physical_r2,pooled_log_r2,median_entity_physical_r2,fraction_entities_physical_r2_at_least_0_85,median_entity_physical_nrmse,maximum_entity_physical_nrmse,entity_bootstrap_physical_r2_95_interval,doi_bootstrap_physical_r2_95_interval
coarse_cc,0.9987068406363478,0.9992077803630952,0.9981086293363781,0.8439716312056738,0.043489886155578125,2.7945597983066857,"[0.9968004198576738, 0.9996426050999299]","[0.9967475209120561, 0.999778581256469]"
v_T,0.9998567886760226,0.9999701664693617,0.9997983316053078,1.0,0.014200996604727165,0.29368326111697074,"[0.9997035637488901, 0.9999358638398662]","[0.999655801251147, 0.9999605889898131]"
v_inv2,0.999846608171227,0.9999711821678341,0.999841815536731,1.0,0.012577101867454445,0.2575902225352714,"[0.9996417220378607, 0.9999484900089085]","[0.9996325368200911, 0.9999645045547338]"
v_log,0.9998666485822892,0.9999766070107129,0.9998779623174006,1.0,0.011046976722313674,0.27110744981840573,"[0.9997200907893675, 0.9999383972106307]","[0.9996869834865322, 0.9999598639030349]"
