dataset,label,fade_median,fade_min,fade_max,fade_rank_std
nasa_battery_capacity_reviewer_clean_inner0,B0026,-0.0049405759200453,-0.0109622217714786,0.0036280022468417,1.3038404810405297
nasa_battery_capacity_reviewer_clean_inner0,B0030,0.0005633301334455,-0.0056801503524184,0.0022845666389912,1.0954451150103321
nasa_battery_capacity_reviewer_clean_inner0,B0005,0.0009917417773976,0.0003418922424316,0.002842558780685,0.5477225575051663
nasa_battery_capacity_reviewer_clean_inner0,B0036,-0.0035706758499145,-0.0071638426743447,0.000940031488426,0.44721359549995787
nasa_battery_capacity_reviewer_clean_inner0,B0039,-0.0144928693771362,-0.0190354976803064,-0.0121853882446885,0.0
nasa_battery_capacity_reviewer_clean_inner1,B0028,0.0008609692449681,-0.0007467667455784,0.0024442141875624,0.5477225575051662
nasa_battery_capacity_reviewer_clean_inner1,B0031,0.0005140834255144,-0.0005203220644034,0.0020205313339829,0.5477225575051662
nasa_battery_capacity_reviewer_clean_inner1,B0033,-0.0044499104842543,-0.0069103636778891,-0.0038560363464057,0.5477225575051662
nasa_battery_capacity_reviewer_clean_inner1,B0040,-0.005046016536653,-0.0102098053321242,-0.0007930133142508,0.5477225575051662
nasa_battery_capacity_reviewer_clean_inner1,B0006,0.0036982959136366,0.0030362871475517,0.0060237115249037,0.0
nasa_battery_capacity_reviewer_clean_inner2,B0039,-0.0131543083116412,-0.0200462732464075,0.0017813973827287,1.7888543819998317
nasa_battery_capacity_reviewer_clean_inner2,B0007,0.0010600885143503,-0.0042705140076577,0.0031061833724379,1.4142135623730951
nasa_battery_capacity_reviewer_clean_inner2,B0029,-0.002396093448624,-0.0037748019676655,0.0020502407569438,1.3038404810405297
nasa_battery_capacity_reviewer_clean_inner2,B0025,-0.000860161264427,-0.0067705842666327,0.0011963049182668,1.140175425099138
nasa_battery_capacity_reviewer_clean_inner2,B0036,-0.0026933352928608,-0.0068884291686117,-0.0006301800603978,0.5477225575051661
