status,dataset,method,seed,source_result,meta_fit_labels,structure_validation_labels,query_target_leakage_max_q_difference,test_q_reproduction_max_abs,saved_validation_reference_nrmse,recalibrated_validation_reference_nrmse,validation_reference_nrmse_abs_difference,meta_fit_prefix_reference_nrmse,matched_raw_q_validation_max_abs_z,matched_functional_validation_max_abs_z,matched_q_nearest_distance_median,meta_fit_q_displacement_from_full_curve_median,meta_fit_candidate_dispersion_median,validation_candidate_dispersion_median,support_jacobian_smin_median,support_jacobian_condition_median,support_jacobian_effective_rank_median
success,nasa_battery_capacity_reviewer_clean_inner0,joint_continuity_step1,0,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner0/joint_continuity_step1/seed0_q4_ed200e16f4e6/result.json,8,5,0.0,9.313225156348803e-10,1.6293932060950245,1.6293931007385254,1.0535649908050004e-07,0.2492795437574386,6.328328355544929,2.2168608243539047,3.6156983217538663,0.1288335132258728,0.0803580395877361,0.4127906560897827,0.1111251264810562,181.1815948486328,4.0
success,nasa_battery_capacity_reviewer_clean_inner0,joint_continuity_step1,1,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner0/joint_continuity_step1/seed1_q4_c01494fc23c7/result.json,8,5,0.0,5.960464477539064e-08,1.386079074364523,1.386078953742981,1.2062154208791753e-07,0.2321861982345581,10.148020512685996,4.935792636908348,4.635104982180415,0.1026355244503924,0.1370985060930252,0.2642655372619629,0.1199673563241958,139.18421936035156,4.0
success,nasa_battery_capacity_reviewer_clean_inner0,joint_continuity_step1,2,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner0/joint_continuity_step1/seed2_q4_dc2cfd5bb864/result.json,8,5,0.0,1.1920928955078125e-07,1.4635350852671976,1.463534951210022,1.3405717558256924e-07,0.2263133525848388,12.83467485503808,4.044224211682039,6.086891476238121,0.0235237081356013,0.1114811114966869,0.1248115599155426,0.0923783704638481,89.55598449707031,4.0
success,nasa_battery_capacity_reviewer_clean_inner0,joint_continuity_step1,3,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner0/joint_continuity_step1/seed3_q4_8c7bd68b9982/result.json,8,5,0.0,1.4901161249358807e-08,0.96452450855825,0.9645244479179382,6.06403118830201e-08,0.2333623319864273,6.629735655420325,2.8817879619938327,3.528731720807936,0.0375435443462857,0.0975194722414016,0.2216159254312515,0.1468825936317443,132.67739868164062,4.0
success,nasa_battery_capacity_reviewer_clean_inner0,joint_continuity_step1,4,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner0/joint_continuity_step1/seed4_q4_7d347c9c389e/result.json,8,5,0.0,5.960464477539064e-08,1.0026528915568844,1.002652883529663,8.027221332085333e-09,0.2351210117340088,8.827473542083183,4.282328319401928,5.537058314393484,0.0482959081693097,0.1472780629992485,0.1406281739473343,0.2296384572982788,88.98960876464844,4.0
success,nasa_battery_capacity_reviewer_clean_inner1,joint_continuity_step1,0,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner1/joint_continuity_step1/seed0_q4_55936bac92a3/result.json,8,5,0.0,5.960464477539064e-08,1.4869140527736302,1.486914038658142,1.4115488111698936e-08,0.2710292935371399,6.332343404090072,3.78260588371401,2.659520758251796,0.1098551906208548,0.1586212962865829,0.296121597290039,0.0702294185757637,74.07854461669922,4.0
success,nasa_battery_capacity_reviewer_clean_inner1,joint_continuity_step1,1,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner1/joint_continuity_step1/seed1_q4_3ba7b5304459/result.json,8,5,0.0,1.4901161193847656e-08,1.158455847993084,1.1584558486938477,7.007636693145969e-10,0.1639907360076904,9.708555985098382,3.620068908587695,7.368823429130588,0.1489919779561754,0.1483988910913467,0.4105173051357269,0.0411431901156902,192.1514892578125,4.0
success,nasa_battery_capacity_reviewer_clean_inner1,joint_continuity_step1,2,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner1/joint_continuity_step1/seed2_q4_8acc21f84a09/result.json,8,5,0.0,5.960464488641294e-08,1.1112420047951466,1.1112419366836548,6.811149177998743e-08,0.1682705730199813,9.50157634482624,5.938456930657157,8.24035493063347,0.0673042451227297,0.1580881401896476,0.1317398101091385,0.0895499140024185,84.02849578857422,4.0
success,nasa_battery_capacity_reviewer_clean_inner1,joint_continuity_step1,3,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner1/joint_continuity_step1/seed3_q4_6e2d17c34741/result.json,8,5,0.0,7.450580666312767e-09,1.37817858951853,1.378178596496582,6.9780519140749675e-09,0.1718247830867767,7.681726761747658,9.715654146085644,6.324609068115008,0.0346958183968569,0.1634095981717109,0.1095906868577003,0.0462124161422252,177.63844299316406,4.0
success,nasa_battery_capacity_reviewer_clean_inner1,joint_continuity_step1,4,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner1/joint_continuity_step1/seed4_q4_a8400486f916/result.json,8,5,0.0,2.9802322443206464e-08,1.7344209687434935,1.7344210147857666,4.6042273105229015e-08,0.1709147989749908,9.65182693400346,3.785939035610576,5.39147603319919,0.1155662826444519,0.150004219263792,0.2669583559036255,0.0925191193819046,159.61978149414062,4.0
success,nasa_battery_capacity_reviewer_clean_inner2,joint_continuity_step1,0,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner2/joint_continuity_step1/seed0_q4_bc802abc5717/result.json,8,5,0.0,1.1920928955078125e-07,1.6654923593633597,1.6654924154281616,5.606480191211461e-08,0.2409425973892212,17.849471043811565,3.480127809732594,8.356024519236783,0.0263207634046469,0.080901063978672,0.4628563523292541,0.13582544028759,141.50050354003906,4.0
success,nasa_battery_capacity_reviewer_clean_inner2,joint_continuity_step1,1,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner2/joint_continuity_step1/seed1_q4_fad16536e188/result.json,8,5,0.0,1.1920928955078125e-07,0.9608731902218752,0.9608731865882874,3.633587764007018e-09,0.246024802327156,17.82712448132898,4.400446164056078,7.7250151098894575,0.0615949258644067,0.1500995755195617,0.0935654789209365,0.1660115122795105,67.0982894897461,4.0
success,nasa_battery_capacity_reviewer_clean_inner2,joint_continuity_step1,2,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner2/joint_continuity_step1/seed2_q4_83af1173282b/result.json,8,5,0.0,2.980232233218416e-08,1.169409997993463,1.1694101095199585,1.1152649559420524e-07,0.2408023029565811,29.405013694207717,9.809165301304184,11.8562760034183,0.0194010550975482,0.0619694795459508,0.1508810520172119,0.0445797406136989,431.2154846191406,4.0
success,nasa_battery_capacity_reviewer_clean_inner2,joint_continuity_step1,3,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner2/joint_continuity_step1/seed3_q4_b28f016a3f81/result.json,8,5,0.0,5.960464477539064e-08,1.0807902032795025,1.0807901620864868,4.119301566518629e-08,0.2474053800106048,20.19100165364909,8.434577855235261,5.778078816355799,0.0355742771218418,0.0518290884792804,0.1064248457551002,0.1493903249502182,137.1293182373047,4.0
success,nasa_battery_capacity_reviewer_clean_inner2,joint_continuity_step1,4,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner2/joint_continuity_step1/seed4_q4_f34dded37ea6/result.json,8,5,0.0,1.1920928955078125e-07,1.1931607523730474,1.1931607723236084,1.9950560981030208e-08,0.2447737008333206,21.011086523666368,6.331826993727431,9.769730480721748,0.0459638944454211,0.0747336857020855,0.2317572981119156,0.0968358218669891,128.32273864746094,4.0
success,nasa_battery_capacity_reviewer_clean_inner0,joint_mse_step1,0,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner0/joint_mse_step1/seed0_q4_0e59d419d083/result.json,8,5,0.0,5.960464477539064e-08,0.6426151685690225,0.6426151990890503,3.0520027838321084e-08,0.2301735579967498,4.812577453444951,4.407004528639601,3.212929696601457,0.0896430661094074,0.1739348545670509,0.3605229556560516,0.1737419068813324,78.27802276611328,4.0
success,nasa_battery_capacity_reviewer_clean_inner0,joint_mse_step1,1,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner0/joint_mse_step1/seed1_q4_735a5ab3571f/result.json,8,5,0.0,2.9802322387695312e-08,1.0432764767356253,1.043276309967041,1.6676858427544516e-07,0.2630664706230163,4.746182720665139,2.782666352474015,3.291586206683089,0.1785792995037314,0.2458709254860878,0.3226129114627838,0.1077391952276229,77.7865982055664,4.0
success,nasa_battery_capacity_reviewer_clean_inner0,joint_mse_step1,2,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner0/joint_mse_step1/seed2_q4_3dc9cc858e16/result.json,8,5,0.0,3.7252902498896563e-09,0.5819851824621832,0.5819851160049438,6.64572393782592e-08,0.2352344244718551,7.352461689369728,4.995062596261578,4.261918627851887,0.0446147106267773,0.1152960695326328,0.5656833648681641,0.1706270277500152,66.03046417236328,4.0
success,nasa_battery_capacity_reviewer_clean_inner0,joint_mse_step1,3,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner0/joint_mse_step1/seed3_q4_104002a86142/result.json,8,5,0.0,5.960464477539064e-08,1.280598351989706,1.280598282814026,6.917568007303032e-08,0.2453819513320922,7.857791794145354,2.2838050008712454,2.1674291313590306,0.0292027000252387,0.1495783552527427,0.2121341526508331,0.2514603435993194,63.305511474609375,4.0
success,nasa_battery_capacity_reviewer_clean_inner0,joint_mse_step1,4,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner0/joint_mse_step1/seed4_q4_8b811cf7b13c/result.json,8,5,0.0,5.960464466436832e-08,0.91747168493167,0.9174716472625732,3.766909684177477e-08,0.3837527334690094,3.419399898939339,3.165246888350915,1.899778352124244,0.2659303668848842,0.2686465010046959,0.2770740985870361,0.0963848233222961,92.06055450439452,4.0
success,nasa_battery_capacity_reviewer_clean_inner1,joint_mse_step1,0,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner1/joint_mse_step1/seed0_q4_aae01616521a/result.json,8,5,0.0,5.960464477539064e-08,0.9519576586799028,0.9519577026367188,4.39568158538961e-08,0.1659262180328369,12.895191292676394,12.562604331259362,9.768458189998505,0.0456772009027108,0.1804336830973625,0.3176688849925995,0.0721696317195892,99.81584930419922,4.0
success,nasa_battery_capacity_reviewer_clean_inner1,joint_mse_step1,1,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner1/joint_mse_step1/seed1_q4_f6ce3ba35c6f/result.json,8,5,0.0,5.960464477539064e-08,0.7085052037563113,0.7085052132606506,9.504339315569156e-09,0.1637200862169265,6.185926917097337,5.72758215360609,4.181415762219469,0.0336774485196435,0.2435545995831489,0.5137762427330017,0.0415742695331573,186.2764892578125,4.0
success,nasa_battery_capacity_reviewer_clean_inner1,joint_mse_step1,2,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner1/joint_mse_step1/seed2_q4_f8a2a867f237/result.json,8,5,0.0,1.1920928955078125e-07,0.9080142175535592,0.9080142378807068,2.0327147631782342e-08,0.1995507180690765,27.67916433669491,5.459072581388538,9.75760528013844,0.0945678275165606,0.19418565928936,0.2582985162734985,0.0669727474451065,88.61605072021484,4.0
