family,pooled_r2,physical_rmse,entity_bootstrap_r2_low,entity_bootstrap_r2_high
functional_degree1,0.9422589584623492,0.06890156809326305,0.886621570971435,0.9729552080577952
functional_degree2,0.9446832943296251,0.067439594963233,0.88991808394537,0.9752219727858872
functional_degree3,0.9481049168787345,0.06532056086997086,0.8926116955332908,0.9790301902371285
functional_degree4,0.9484640719902938,0.06509413339551749,0.8929384133246255,0.9793303155297349
raw_decoder,0.9483539922131026,0.06516361623680288,0.8927403817472955,0.9791820855861931
raw_q_ridge_req,-1.9074608666878299,0.4889266816351125,-5.238207150408286,0.1096060478990916
structure_req,0.9806678897093667,0.03986818191462734,0.9617285322081659,0.9915932089497601
