fold,left_seed,right_seed,raw_unaligned_coordinate_spearman,functional_named_coordinate_spearman,raw_distance_geometry_spearman,functional_distance_geometry_spearman
0,0,1,-0.07838827838827837,0.6845419018671298,0.7814501007014375,0.6730745190638239
0,0,2,-0.39079670329670324,0.7064698219713417,0.7119799986110146,0.7054100979234668
0,1,2,0.0304029304029304,0.8151324359531046,0.79429821515383,0.8311271616084448
1,0,1,0.040430402930402926,0.5263786365610074,0.8867490797972081,0.5567331064657267
1,0,2,-0.47431318681318674,0.6242943986105081,0.8532814778804083,0.748961733453712
1,1,2,0.12838827838827838,0.7726877985236648,0.8241544551704979,0.7321411209111743
2,0,1,-0.0103021978021978,0.7799609205384282,0.8843947496353912,0.9000625043405791
2,0,2,0.014148351648351647,0.8994789405123751,0.8549482602958537,0.922098756858115
2,1,2,0.5249084249084248,0.8487841945288753,0.7991804986457391,0.936328911729981
3,0,1,0.13603479853479855,0.8222970039079461,0.8506146260156955,0.8519480519480519
3,0,2,0.09761904761904762,0.7332826747720365,0.5521355649697895,0.5644350302104313
3,1,2,-0.4015109890109889,0.7997177594442032,0.5108757552607819,0.7383846100423639
4,0,1,-0.011767399267399265,0.5578593139383413,0.7543787763039098,0.7058545732342523
4,0,2,0.1689102564102564,0.6313504125054277,0.701548718661018,0.6628099173553718
4,1,2,-0.10677655677655676,0.5878202344767695,0.7878394332939785,0.8334676019167997
