fold,label,offset,physical_intercept,physical_linear_temperature,physical_quadratic_temperature
0,13,0,-1.0175799809421142,0.003824240761055652,-2.0299745665442457e-06
0,13,1,-1.144473602841197,0.004258035381321883,-2.3863230193221204e-06
0,13,2,-1.2700129374783165,0.004682855885672851,-2.7266685033343776e-06
0,13,3,-1.3682538119803613,0.005004676647851294,-2.978237294103519e-06
0,2100,0,-0.014015284113743198,0.00044173595183405164,4.222416619671705e-06
0,2100,1,-0.015701346051767207,0.00047344467463578815,4.116234798576414e-06
0,2100,2,-0.0164083500220919,0.0004844943473291379,4.079647425264776e-06
0,2100,3,-0.020550286181859,0.0005170775092759928,4.039277673434594e-06
0,3883,0,0.0005175761718508309,6.123778575912791e-05,1.3527899932861055e-06
0,3883,1,0.0009872692503271885,7.520936231233109e-05,1.3182265547730121e-06
0,3883,2,0.002117766155691078,4.83522837169167e-05,1.3741440420774586e-06
0,3883,3,-0.0020766952380621845,9.092781111998984e-05,1.2996440553607889e-06
0,5845,0,-0.0001546754381590021,-2.2868062232282043e-05,1.6658863904617873e-06
0,5845,1,-0.0008805138209395102,1.2047348738923646e-05,1.4555382520166875e-06
0,5845,2,-0.0010040680399646257,1.349797892944934e-05,1.448299362026466e-06
0,5845,3,-0.0012887619477805062,2.0162460128348293e-05,1.4163525323911703e-06
0,7376,0,-0.000712830749167075,1.7373428613935723e-05,1.3643183017805988e-07
0,7376,1,-0.0012900777034820865,2.7751446472618288e-05,9.702555982545063e-08
0,7376,2,-0.0009850784693970042,1.6996767937574938e-05,1.5098225113070288e-07
0,7376,3,-0.0020866365323454527,3.46172162088209e-05,9.064444475492022e-08
0,7892,0,-0.12660591403499588,0.00245457705231499,1.5358785001107757e-06
0,7892,1,-0.16652755540829778,0.0030873024870224095,-3.4153642622184066e-07
0,7892,2,-0.09137160125091232,0.0015101910064985896,4.895766417084865e-06
0,7892,3,-0.14385334708001593,0.0023576501834287915,2.313970773368475e-06
0,11397,0,0.006757990127253005,-0.00023227760101836314,1.4685554470287592e-06
0,11397,1,0.008965192438147682,-0.00025821681322943705,1.539625518398684e-06
0,11397,2,0.010390975323522664,-0.00026950397358675975,1.5551141895942955e-06
0,11397,3,0.011821962662822344,-0.0002924404479682102,1.6276041095913292e-06
0,11812,0,0.0011383971878642157,-1.856021104705505e-05,7.259345457370296e-08
0,11812,1,0.0013947122632774226,-2.3416227018731797e-05,8.73144921204044e-08
0,11812,2,0.0011969903925391568,-1.857775160556355e-05,7.128667040418598e-08
0,11812,3,0.0012665149348436338,-1.8885477036256864e-05,7.091773130521086e-08
0,13692,0,-1.3336740920395638,0.005312877316579405,-1.8338467246453434e-06
0,13692,1,-1.1970233879150438,0.004637259837850802,-1.0505560274964246e-06
0,13692,2,-1.340596456016931,0.005217970965773694,-1.630096032705179e-06
0,13692,3,-1.5719918329032447,0.006154542383690885,-2.5464684202724057e-06
0,15402,0,0.06850013963861268,-0.00035586991013856437,8.926838538087147e-07
0,15402,1,0.09703112832339794,-0.0004865425361560536,1.0366037528714508e-06
0,15402,2,0.09410031314752193,-0.0004696719116876699,1.0145473950671192e-06
0,15402,3,0.07665358523354934,-0.00038989082619452083,9.277815363720924e-07
0,16792,0,-0.0006817485753060626,-0.00012525583868394185,3.4250135540045156e-06
0,16792,1,0.001021470796990609,-0.0001593825471782708,3.550511092479597e-06
0,16792,2,0.0016017855836738537,-0.00016479838577313074,3.523358564857427e-06
0,16792,3,-0.0012792644260414265,-0.00013096088486161546,3.4180191007212434e-06
0,19090,0,-0.0013139755046853788,0.0001281041724336047,-3.469722720289648e-07
0,19090,1,-0.0016344344018419422,0.0001319803907338661,-3.5579893003789835e-07
0,19090,2,-0.001878269694757486,0.00013620792169364375,-3.698292086999685e-07
0,19090,3,-0.002190247895454654,0.00013857688358076512,-3.730241955294021e-07
0,25605,0,0.00021610982910660013,-6.140258467018971e-06,3.4011965917275774e-08
0,25605,1,0.0002507175970116421,-6.639619447757957e-06,3.564583696984531e-08
0,25605,2,0.00029771704926139213,-7.2993150130511505e-06,3.7380850939649145e-08
0,25605,3,0.0003445049080595562,-7.678869781989757e-06,3.7756084013736364e-08
0,43046,0,-1.5888719100875313,0.008874621358958596,-1.1338825459641506e-05
0,43046,1,-1.765121945121308,0.00985101945593845,-1.2685696903297413e-05
0,43046,2,-1.8485715150380164,0.010255938340616486,-1.3157226231528954e-05
0,43046,3,-1.8732555300466154,0.010358315930860545,-1.3255254831088708e-05
0,45065,0,-0.7321368768777474,0.0026891543168939577,5.20208125473086e-07
0,45065,1,-0.8903945761078902,0.0033187997227341923,-7.85294062433245e-08
0,45065,2,-1.0246070323183913,0.0038358110234517316,-5.551086311791376e-07
0,45065,3,-1.14206950192789,0.00427627248242136,-9.54230036510977e-07
0,47039,0,-0.007002144892024714,0.00022266910398803237,-5.8939222606026306e-08
0,47039,1,-0.007395158372714541,0.00022108438253812913,-3.428715165208462e-08
0,47039,2,-0.008698486639839617,0.00023929410443980113,-9.122083816559134e-08
0,47039,3,-0.010087632743843148,0.00026008399584944483,-1.5431015217359512e-07
1,1046,0,-0.28114838838045986,0.0013122590187444694,-1.9081654771655248e-07
1,1046,1,-0.2837605013904709,0.0013202603322746975,-1.9470185150412416e-07
1,1046,2,-0.28808421056195593,0.0013278903864918673,-1.9416831524498435e-07
