prior_weight,q_median_of_splits,q_min_split,capacity_median_of_splits,capacity_min_split,early_fade_median_of_splits,early_fade_min_split,representation_gate_pass
0.0,0.6847290640394088,0.40093048713738366,0.6309523809523812,0.5595238095238095,0.6904761904761905,-0.023809523809523815,False
0.001,0.7769567597153804,0.6135741652983032,0.7023809523809526,0.5119047619047621,0.7142857142857144,0.27380952380952384,False
0.01,0.8078817733990147,0.7917350848385332,0.6666666666666669,0.6428571428571429,0.5595238095238095,-0.09523809523809526,False
0.1,0.6852764094143404,0.6803503010399562,0.5714285714285715,0.5476190476190477,0.1785714285714286,0.14285714285714288,False
1.0,0.5779967159277504,0.5618500273672687,0.7261904761904763,0.5357142857142858,-0.07142857142857145,-0.3214285714285715,False
