method,prior_weight,support_loss_median,meta_query_nrmse_median_diagnostic_only
prefix_q_continuity_step1,0.0,0.014378763269633,0.072349164634943
prefix_q_continuity_step1,0.001,0.0153911281377077,0.0651305504143238
prefix_q_continuity_step1,0.01,0.0190176432952284,0.0821714885532856
prefix_q_continuity_step1,0.1,0.0233194073662161,0.1071000508964061
prefix_q_continuity_step1,1.0,0.062282882630825,0.1804538741707801
prefix_q_mse_step1,0.0,0.0161635745316743,0.0990041717886924
prefix_q_mse_step1,0.001,0.0153414332307875,0.0870846211910247
prefix_q_mse_step1,0.01,0.0169391594827175,0.0917923487722873
prefix_q_mse_step1,0.1,0.032320536673069,0.1640548557043075
prefix_q_mse_step1,1.0,0.14140485227108,0.3180497884750366
