status,dataset,method,seed,source_result,meta_fit_labels,structure_validation_labels,prior_weights_scored,selected_prior_weight,selected_support_loss_median,query_target_leakage_max_q_difference,raw_q_validation_max_abs_z,functional_validation_max_abs_z,selected_prior_validation_reference_nrmse,prefix_q_no_prior_reference_nrmse,selected_to_prefix_nrmse_ratio,old_method,old_reference_nrmse,selected_to_old_nrmse_ratio
success,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_continuity_step1,4,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_continuity_step1/seed4_q4_0b10c270d2b7/result.json,8,5,5,0.001,0.0143030104227364,0.0,13.012895182831157,3.011285915731358,1.2034446001052856,1.1211332631518651,1.0734179777362212,joint_continuity_step1,1.1931607723236084,1.0086189791185056
success,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,0,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_mse_step1/seed0_q4_53269dab9acb/result.json,8,5,5,0.0,0.0122652850113809,0.0,5.0513888772876765,1.294078172358268,1.891477942466736,1.396949775512263,1.3540056884100424,joint_mse_step1,0.6426151990890503,2.9434067932847396
success,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,1,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_mse_step1/seed1_q4_9c7fa189bd19/result.json,8,5,5,0.001,0.0080637587234377,0.0,5.261607900494188,3.315123068117958,1.0797665119171145,1.3761274431620716,0.7846413624569699,joint_mse_step1,1.043276309967041,1.0349765460994953
success,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,2,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_mse_step1/seed2_q4_1b9ec7a4d880/result.json,8,5,5,0.001,0.0110601633787155,0.0,3.3051944474049386,2.756133099140057,0.7090477347373962,0.6846889154084358,1.0355764768214917,joint_mse_step1,0.5819851160049438,1.218326234190795
success,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,3,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_mse_step1/seed3_q4_3cefe6b920da/result.json,8,5,5,0.0,0.0128949307836592,0.0,3.5643546005733437,2.0750239362467253,1.053536057472229,1.3019825744176396,0.8091783086601312,joint_mse_step1,1.280598282814026,0.822690512404215
success,nasa_battery_capacity_reviewer_clean_inner0,prefix_q_mse_step1,4,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_mse_step1/seed4_q4_c0cf535edf56/result.json,8,5,5,0.001,0.0148673923686146,0.0,4.909345111262909,3.9590047298419546,0.8340580463409424,0.9095214745678932,0.9170295255944308,joint_mse_step1,0.9174716472625732,0.9090831840193547
success,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_mse_step1,0,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_mse_step1/seed0_q4_872577a98b2c/result.json,8,5,5,0.001,0.022852249443531,0.0,12.123554960837025,5.349646120211135,0.7593576908111572,1.1091426820391224,0.6846348112896558,joint_mse_step1,0.9519577026367188,0.7976800741334402
success,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_mse_step1,1,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_mse_step1/seed1_q4_75628946c3d0/result.json,8,5,5,0.001,0.0211621075868606,0.0,6.433419361719837,5.169049366684488,0.6825283765792847,0.6652874361176586,1.0259150248834354,joint_mse_step1,0.7085052132606506,0.9633357155386104
success,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_mse_step1,2,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_mse_step1/seed2_q4_894510617630/result.json,8,5,5,0.0,0.0216712448745965,0.0,6.66198110438728,3.3777484582285804,0.7931098341941833,0.8627546112213671,0.9192762621939622,joint_mse_step1,0.9080142378807068,0.8734552841872736
success,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_mse_step1,3,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_mse_step1/seed3_q4_bc267b8c43e3/result.json,8,5,5,0.0,0.0216313069686293,0.0,9.69131440343869,5.2489204805779,1.2028732299804688,1.1993299370603991,1.0029543937915486,joint_mse_step1,1.0863299369812012,1.1072816729355075
success,nasa_battery_capacity_reviewer_clean_inner1,prefix_q_mse_step1,4,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_mse_step1/seed4_q4_a09855e1979f/result.json,8,5,5,0.001,0.0221925377845764,0.0,4.997542405385316,3.3885656367124044,1.09094500541687,1.0803057018195714,1.0098484193681276,joint_mse_step1,0.6592473387718201,1.6548341438120995
success,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_mse_step1,0,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_mse_step1/seed0_q4_a2af1c6bc7a0/result.json,8,5,5,0.001,0.0153414332307875,0.0,4.498390440671434,2.9931754676154907,1.9146102666854856,1.9708494911069243,0.971464475255362,joint_mse_step1,2.149454355239868,0.8907424630898128
success,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_mse_step1,1,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_mse_step1/seed1_q4_08519e66dc27/result.json,8,5,5,0.001,0.0113417692482471,0.0,4.763647394750239,3.812829379356846,1.6449601650238037,1.047846358810502,1.5698486244597305,joint_mse_step1,1.0725491046905518,1.5336921711369123
success,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_mse_step1,2,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_mse_step1/seed2_q4_bfc69a8ea90f/result.json,8,5,5,0.001,0.0132023524492979,0.0,5.498837522259057,4.031277968296289,1.5366153717041016,1.3165446107729664,1.1671578457200382,joint_mse_step1,1.539657711982727,0.9980240151723674
success,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_mse_step1,3,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_mse_step1/seed3_q4_eec6056d3069/result.json,8,5,5,0.0,0.0165801402181386,0.0,4.19805566855998,2.9751434866127027,0.9974905848503112,1.1045368417654005,0.9030849376250816,joint_mse_step1,0.4684807360172272,2.129202992059915
success,nasa_battery_capacity_reviewer_clean_inner2,prefix_q_mse_step1,4,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_mse_step1/seed4_q4_5c0b942457ac/result.json,8,5,5,0.01,0.0169391594827175,0.0,7.640094599694781,2.4851885512148826,1.5577597618103027,1.6314346325900326,0.9548404396302628,joint_mse_step1,0.8378159999847412,1.8593101132452394
