fold,left_seed,right_seed,raw_unaligned_coordinate_spearman,functional_named_coordinate_spearman,raw_distance_geometry_spearman,functional_distance_geometry_spearman
0,0,1,0.09999999999999999,0.8061224489795918,0.7733384262796026,0.8138620737551219
0,0,2,-0.7142857142857142,0.8198002605297438,0.6182790471560524,0.8326203208556148
0,1,2,-0.07261904761904762,0.7522796352583587,0.7967706090700742,0.7898465171192444
1,0,1,-0.3421245421245421,0.31328701693443334,0.7971386901868185,0.8918536009445099
1,0,2,-0.19386446886446884,0.23458532349109856,0.7893881519549967,0.8820890339606917
1,1,2,0.12078754578754579,0.41413373860182373,0.9135981665393429,0.9128828390860475
2,0,1,0.21634615384615385,0.6229917498914459,0.832696715049656,0.709090909090909
2,0,2,0.2251831501831502,0.8838471558836299,0.6513230085422598,0.8301132023057155
2,1,2,0.4967948717948717,0.7660660008684325,0.7899229113132856,0.7870754913535661
3,0,1,-0.11231684981684982,0.9405123751628311,0.6222862698798527,0.8764080838947148
3,0,2,-0.020100732600732595,0.921406860616587,0.7419751371623028,0.8400722272380026
3,1,2,-0.13708791208791204,0.9211897524967433,0.675546912980068,0.889172859226335
4,0,1,-0.06506410256410255,0.8518237082066868,0.5967844989235362,0.835419126328217
4,0,2,0.1816391941391941,0.9044724272687797,0.6464962844641988,0.9291895270504895
4,1,2,-0.41185897435897434,0.8352149370386452,0.7481422320994513,0.832981457045628
