family,label,r2,reference_nrmse
functional_degree1,13,0.8890497916542415,0.3330918917442431
functional_degree1,1046,0.9736074329515536,0.1624578931552616
functional_degree1,1176,0.9309158123866311,0.2628387102642396
functional_degree1,1178,0.9059298467783429,0.30670858028698367
functional_degree1,1652,0.6556370707040926,0.5868244450394916
functional_degree1,2100,0.7358702896703004,0.5139355118394716
functional_degree1,2121,0.9885425749453249,0.10703936217427254
functional_degree1,2242,0.9342680124214604,0.2563825024812334
functional_degree1,2251,-6.337259997607116,2.708737712959141
functional_degree1,3882,0.9512086129070586,0.2208877250843546
functional_degree1,3883,0.9412941622591542,0.2422928759597479
functional_degree1,3888,0.9160136929621547,0.2898039113570505
functional_degree1,3967,0.9097226146101786,0.3004619533149272
functional_degree1,5044,0.7164116384109607,0.5325301508732059
functional_degree1,5843,0.9045713043316431,0.3089153535652717
functional_degree1,5845,0.9072994760052413,0.3044676074638462
functional_degree1,6363,-1.6147881084742663,1.6170306454963266
functional_degree1,6420,0.5727915528578229,0.6536118474616085
functional_degree1,6447,0.9390817190206495,0.24681628993919838
functional_degree1,7097,0.9097034075157169,0.30049391422170785
functional_degree1,7376,-0.27135498191332497,1.1275437827035033
functional_degree1,7377,0.3099592496703161,0.8306869147456722
functional_degree1,7477,0.9497331799480809,0.22420263167928922
functional_degree1,7529,0.9104657604566654,0.2992227256465233
functional_degree1,7891,0.9449760839785847,0.23457177157837067
functional_degree1,7892,0.9399796731903297,0.2449904626912449
functional_degree1,8057,0.4851029198452682,0.7175632934833914
functional_degree1,11054,0.9815412852583959,0.1358628526919854
functional_degree1,11060,0.9749631628871345,0.1582303293078338
functional_degree1,11075,0.9104840285635553,0.29919219815437154
functional_degree1,11397,0.7757493449314934,0.47355111135811584
functional_degree1,11399,0.5549969685067861,0.6670854754026757
functional_degree1,11402,0.8045752038263935,0.4420687686023596
functional_degree1,11403,0.8180527990459774,0.42655269422900444
functional_degree1,11621,0.8339698234156345,0.4074680068230702
functional_degree1,11812,-3.9373551492172227,2.222016010117214
functional_degree1,12139,0.9260893567855952,0.2718651195251145
functional_degree1,12216,0.8442172011934634,0.39469329713910334
functional_degree1,12972,0.8342010007738685,0.4071842325362458
functional_degree1,13322,0.8915796636003022,0.3292724349223571
functional_degree1,13692,0.9478903837098187,0.2282753081044494
functional_degree1,13713,-34.923994692045355,5.9936628777439065
functional_degree1,13978,0.64456508000408,0.5961836294263035
functional_degree1,14219,0.8356169573049932,0.4054417870607405
functional_degree1,15081,0.9506938750597894,0.22204982535505535
functional_degree1,15402,0.9370627677240368,0.25087294050168735
functional_degree1,15433,0.9451019665053042,0.23430329381956141
functional_degree1,16161,0.9745772800299636,0.15944503745816754
functional_degree1,16609,0.8373092590582865,0.4033494030511431
functional_degree1,16611,0.8559186806254757,0.37958045178133754
functional_degree1,16792,0.9233693759236844,0.27682236917618414
functional_degree1,17209,0.725737176701251,0.5237010820102905
functional_degree1,17710,-0.9745971252924139,1.4052035885566239
functional_degree1,18305,0.7018741985833359,0.5460089755825119
functional_degree1,18306,0.9679619772654858,0.17899168342276173
functional_degree1,19090,-6.282796702772739,2.698665726386419
functional_degree1,19424,-157.03695723306643,12.571275083819717
functional_degree1,19665,-0.9950080235663261,1.4124475294913883
functional_degree1,20512,-0.20195978325384822,1.0963392646684913
functional_degree1,20574,-42.498487025138985,6.595338279810898
functional_degree1,25605,-112.0756711797031,10.633704489955656
functional_degree1,28201,-0.26566424822510215,1.125017443520367
functional_degree1,33846,0.960855341140446,0.19785009188664518
functional_degree1,33847,0.9785472347972024,0.14646762510124084
functional_degree1,35958,0.979867058877536,0.14189059560965966
functional_degree1,43046,0.09932436267535638,0.9490393233816202
