family,label,r2,reference_nrmse
linear_req,88535,0.5083104785400405,0.7012057625689905
linear_req,88569,0.9699113853340662,0.17346070063831107
linear_req,88774,0.36920032581212825,0.7942289809544045
linear_req,88842,0.1263710702842149,0.9346811914849819
linear_req,88899,0.7508920348063993,0.4991071680447003
linear_req,88970,0.9847870087875005,0.12334095513048197
linear_req,89036,0.5112425918095087,0.6991118710124233
linear_req,89066,0.3667593186347087,0.7957642121667016
linear_req,89118,0.863806136596365,0.36904452767062557
linear_req,89156,0.7469957892754423,0.5029952392662954
linear_req,89459,0.3981794789441022,0.775770920475818
linear_req,89475,0.6197167080429207,0.6166711376066495
linear_req,89488,0.9550434659417967,0.21202955939727688
linear_req,89500,-0.06349847682600318,1.0312606250730234
linear_req,89577,0.9786636272876226,0.14606975290037771
linear_req,89590,0.8892447797698657,0.33279906885406746
linear_req,89619,0.4545196754539852,0.7385663981972201
linear_req,90250,0.2619928023057695,0.8590734530261255
linear_req,90329,0.25564934577421516,0.8627575871737003
linear_req,91161,0.9068653898756338,0.30517963582841867
linear_req,91190,0.9845823795119697,0.12416771113308911
linear_req,91295,0.46126903320136625,0.7339829472124225
linear_req,91595,0.9265072930795893,0.2710953834361823
linear_req,91761,0.9769331671428111,0.1518776904525116
linear_req,91867,-0.10494945895228058,1.0511657618816743
linear_req,93178,0.21519190463120552,0.8858939526652131
linear_req,93243,0.29906281187266726,0.8372199162271121
linear_req,93307,0.5933122332302847,0.6377207592431936
linear_req,93348,0.03922420526486148,0.9801917132556969
linear_req,93547,0.7422718380338038,0.507669343141967
no_q_global_quadratic,88535,-0.8641452037961499,1.3653370293799805
no_q_global_quadratic,88569,-10.331775771355927,3.366270305747286
no_q_global_quadratic,88774,-2.261827062237104,1.8060528957472715
no_q_global_quadratic,88842,-2643.4965542882774,51.424668732897814
no_q_global_quadratic,88899,-11337.162751920092,106.48080931285267
no_q_global_quadratic,88970,-13.898429230514575,3.8598483429423203
no_q_global_quadratic,89036,-8.514039501476464,3.08448366853781
no_q_global_quadratic,89066,-0.8018145894599731,1.3423168737149858
no_q_global_quadratic,89118,0.524300487824374,0.6897097303762113
no_q_global_quadratic,89156,-1073.7434403071518,32.78327988940631
no_q_global_quadratic,89459,-0.3706158974470566,1.1707330598591024
no_q_global_quadratic,89475,0.13459287463007585,0.9302726080939522
no_q_global_quadratic,89488,-16.548442142399434,4.1890860748377365
no_q_global_quadratic,89500,-102.58661333887402,10.177750897859212
no_q_global_quadratic,89577,-0.20015819503083265,1.095517318453174
no_q_global_quadratic,89590,-1.7453930276081735,1.6569227584918294
no_q_global_quadratic,89619,-15.13284740838435,4.016571598812145
no_q_global_quadratic,90250,-2667394.7465785905,1633.216380819942
no_q_global_quadratic,90329,-135.09151910938007,11.665826979232122
no_q_global_quadratic,91161,-0.5038491939528564,1.2263152914127982
no_q_global_quadratic,91190,0.8280846319860196,0.41462678159277216
no_q_global_quadratic,91295,-1.5863868383087096,1.6082247474494071
no_q_global_quadratic,91595,-1.0061550764481577,1.416388038797334
no_q_global_quadratic,91761,-23.877045735384698,4.987689418496775
no_q_global_quadratic,91867,-1.5137167096568374,1.5854705010364711
no_q_global_quadratic,93178,-69.3261845322663,8.386070863775617
no_q_global_quadratic,93243,-26430.394095292653,162.57734803868786
no_q_global_quadratic,93307,-467478.4367303676,683.7246790414748
no_q_global_quadratic,93348,-3.550670824994575,2.1332301387788837
no_q_global_quadratic,93547,-228.93536204370832,15.1636196880464
no_q_mlp,88535,-26.862018771103024,5.2784485193191975
no_q_mlp,88569,-71.98962732043671,8.543396708595283
no_q_mlp,88774,-52.5831751862054,7.320052949685911
no_q_mlp,88842,-454.0177615412995,21.331145340588243
no_q_mlp,88899,-22808.253254505642,151.02732618471944
no_q_mlp,88970,-343.38533230802625,18.55762194646788
no_q_mlp,89036,-10.377312726329436,3.373027234744694
no_q_mlp,89066,-0.042953126410981035,1.0212507656844039
no_q_mlp,89118,0.2761853750655806,0.8507729573361036
no_q_mlp,89156,-467.59931704641957,21.647154941156117
no_q_mlp,89459,-41.92122866922972,6.551429513413826
no_q_mlp,89475,-5.959230177890008,2.6380352874611073
no_q_mlp,89488,-2.2774874561905425,1.8103832346192732
no_q_mlp,89500,-6.0547242633965235,2.6560730907481678
no_q_mlp,89577,0.6069765108856485,0.6269158548915089
no_q_mlp,89590,-1.9296138065166444,1.711611464823908
no_q_mlp,89619,-1.5529974619093068,1.5978102083505747
no_q_mlp,90250,-3338667.0337430136,1827.2022421568483
no_q_mlp,90329,-127.50713407763706,11.336098715062297
no_q_mlp,91161,-2.04368170396722,1.7446150589649339
no_q_mlp,91190,0.8708065332604983,0.35943492698888035
no_q_mlp,91295,0.07583985955425787,0.9613324817386242
no_q_mlp,91595,-0.2610857005356082,1.1229807213552725
no_q_mlp,91761,-32.33236129536648,5.773418510325271
no_q_mlp,91867,-0.5286045192349609,1.2363674693370743
no_q_mlp,93178,-129.1385602756975,11.407828902806068
no_q_mlp,93243,-90029.65196616051,300.05108226127186
no_q_mlp,93307,-1211413.3699971337,1100.642707692707
no_q_mlp,93348,-3.030328866694216,2.007567898401998
no_q_mlp,93547,-1620.3531465426513,40.26602968437106
quadratic_req,88535,0.5095217795843707,0.7003415027082355
quadratic_req,88569,0.9946006594682272,0.07348020503355181
quadratic_req,88774,0.5967041498802252,0.6350557850455145
quadratic_req,88842,0.5165026207141148,0.6953397581656648
quadratic_req,88899,0.9612304808712626,0.19689976924500807
quadratic_req,88970,0.9995332338555885,0.021604771334397106
quadratic_req,89036,0.5964777184752589,0.635234036812214
quadratic_req,89066,0.014515298666394227,0.9927158210352074
quadratic_req,89118,0.9693508408959274,0.17506901240388775
quadratic_req,89156,0.9241639214023724,0.2753835118478004
quadratic_req,89459,0.9342887987445329,0.2563419615581249
quadratic_req,89475,0.9516463863074545,0.2198945513025402
quadratic_req,89488,0.9655585703129386,0.18558402325378517
quadratic_req,89500,0.9486173298822443,0.2266774583361912
quadratic_req,89577,0.9797879647114967,0.14216903772799244
quadratic_req,89590,0.999393164763535,0.02463402598977672
quadratic_req,89619,0.8314233434252104,0.4105808770203376
quadratic_req,90250,0.4556080941631754,0.7378291847282978
quadratic_req,90329,0.9709738221277099,0.1703707072013558
quadratic_req,91161,0.9204219419068298,0.2820958313998457
quadratic_req,91190,0.9913858460535798,0.09281246654636555
quadratic_req,91295,0.4963272218065262,0.7096990758014793
quadratic_req,91595,0.9874526318856742,0.1120150352154827
quadratic_req,91761,0.9983183944101788,0.04100738457669847
quadratic_req,91867,0.9736156671268194,0.16243254868769583
quadratic_req,93178,0.9348606288698761,0.2552241585942128
quadratic_req,93243,0.9278223547725604,0.26865897570607916
quadratic_req,93307,-0.1418411174728278,1.068569659625814
quadratic_req,93348,0.7697503985510712,0.47984330926764907
quadratic_req,93547,0.974452017290152,0.15983736330985943
support_knn,88535,0.9662024256770249,0.18384116601831893
support_knn,88569,0.961904434526438,0.1951808532452964
support_knn,88774,0.9839331363171726,0.12675513276718792
support_knn,88842,0.9351514993089837,0.25465368776245195
support_knn,88899,0.9169239955284437,0.2882290833201193
support_knn,88970,0.940762455933224,0.24338764156541712
support_knn,89036,0.9783191014666632,0.14724434975012374
support_knn,89066,0.6867415744615623,0.5596949397113019
support_knn,89118,0.9760043681938779,0.15490523492161928
support_knn,89156,0.9248331945160423,0.27416565336299464
support_knn,89459,0.8928936415342851,0.3272710779548277
support_knn,89475,0.9945425712070444,0.07387441230193095
support_knn,89488,0.9939914808121156,0.07751463853933876
support_knn,89500,0.9073652652811989,0.3043595484271869
support_knn,89577,0.9947480033304767,0.07247066074987372
support_knn,89590,0.9690638374846857,0.17588678891637732
support_knn,89619,0.9775007285228035,0.14999757157099775
support_knn,90250,0.9634986301794428,0.19105331669603962
support_knn,90329,0.9508851279689029,0.22161875378924295
support_knn,91161,0.8914921798448229,0.3294052521669579
support_knn,91190,0.9346500664535271,0.2556363306466296
support_knn,91295,0.441642869325901,0.7472329828601646
support_knn,91595,0.9177246302136827,0.28683683477949157
support_knn,91761,0.9747931163582698,0.15876675861694167
support_knn,91867,0.7807750858566435,0.46821460265924714
support_knn,93178,0.8992513148290026,0.31740933378052616
support_knn,93243,0.8515541110650272,0.3852867619513715
support_knn,93307,0.6438539188928162,0.5967797592975015
support_knn,93348,0.9504579588082883,0.2225804151126323
support_knn,93547,0.9195358252704035,0.28366207841302404
