prior_weight,support_loss_median,meta_query_nrmse_median,prediction_eligible,q_median_of_splits,q_min_split,response_median_of_splits,response_min_split,response_geometry_retained,capacity_median_of_splits,capacity_min_split,early_fade_median_of_splits,early_fade_min_split,representation_eligible,eligible
0.0,0.014378763269633,0.072349164634943,True,0.6847290640394088,0.40093048713738366,0.9939792008757524,0.9348659003831417,True,1.0,1.0,0.8690476190476191,0.773809523809524,True,True
0.001,0.0143790338188409,0.0708324909210205,True,0.662287903667214,0.3877941981390257,0.9942528735632183,0.9400656814449918,True,1.0,1.0,0.8214285714285716,0.7857142857142858,True,True
0.01,0.0143937147222459,0.0704120025038719,True,0.6847290640394088,0.47235905856595506,0.990695128626163,0.939792008757526,True,1.0,1.0,0.8571428571428572,0.8214285714285716,True,True
0.1,0.0145598920062184,0.0867887865751981,False,0.577175697865353,0.5596606458675424,0.9958949096880131,0.963327859879584,True,1.0,1.0,0.8928571428571429,0.8809523809523809,True,False
1.0,0.0168146165087819,0.0808392390608787,False,0.5547345374931582,0.37110016420361247,0.9958949096880132,0.9627805145046524,True,1.0,0.9761904761904763,0.9047619047619048,0.8095238095238096,True,False
