regime,method,candidate_id,selected,expression_family,lambda,expected_query_rows,prediction_rows,finite_prediction_rows,coverage_complete,entity_count,finite_entity_count,physical_r2,rmse,mae,median_entity_nrmse,p90_entity_nrmse,p95_entity_nrmse,max_entity_nrmse,entity_r2_ge_0_85_count,entity_r2_finite_count,negative_prediction_count,negative_prediction_fraction,sse,sse_top1_fraction,sse_top3_fraction,sse_top5_fraction
four_support,expression,constant__lambda_0,False,constant,0.0,22754,22754,22754,True,247,247,-0.6536136647926296,1055.8721174217255,169.67161677798356,1.0020246162242756,1.0341979461245283,1.0662685423242644,3.19409044876256,0,247,0,0.0,25367659333.644913,0.8826071281438668,0.9805381009039402,0.9839203255068849
four_support,expression,constant__lambda_0.0001,False,constant,0.0001,22754,22754,22754,True,247,247,-0.6536136647926296,1055.8721174217255,169.67161677798356,1.0020246162242756,1.0341979461245288,1.0662685423242642,3.19409044876256,0,247,0,0.0,25367659333.644913,0.8826071281438668,0.9805381009039402,0.9839203255068849
four_support,expression,constant__lambda_0.01,False,constant,0.01,22754,22754,22754,True,247,247,-0.6536136647926296,1055.8721174217255,169.67161677798356,1.0020246162242756,1.0341979461245288,1.0662685423242642,3.19409044876256,0,247,0,0.0,25367659333.644913,0.8826071281438668,0.9805381009039402,0.9839203255068849
four_support,expression,constant__lambda_1,False,constant,1.0,22754,22754,22754,True,247,247,-0.6536136647926296,1055.8721174217255,169.67161677798356,1.0020246162242756,1.0341979461245288,1.0662685423242642,3.19409044876256,0,247,0,0.0,25367659333.644913,0.8826071281438668,0.9805381009039402,0.9839203255068849
four_support,expression,constant__lambda_1e-06,False,constant,1e-06,22754,22754,22754,True,247,247,-0.6536136647926296,1055.8721174217255,169.67161677798356,1.0020246162242756,1.0341979461245288,1.0662685423242642,3.19409044876256,0,247,0,0.0,25367659333.644913,0.8826071281438668,0.9805381009039402,0.9839203255068849
four_support,expression,constant__lambda_1e-08,False,constant,1e-08,22754,22754,22754,True,247,247,-0.6536136647926296,1055.8721174217255,169.67161677798356,1.0020246162242756,1.0341979461245288,1.0662685423242642,3.19409044876256,0,247,0,0.0,25367659333.644913,0.8826071281438668,0.9805381009039402,0.9839203255068849
four_support,expression,cubic_t__lambda_0,False,cubic_t,0.0,22754,22754,22754,True,247,247,-1.4842248568260277,1294.165287302892,75.99458600045448,0.06288939315485895,0.35718270145946784,0.6533957986915834,2.9043821404821584,226,247,394,0.017315636811110133,38109850697.223366,0.9170532980870867,0.9988822000160313,0.9998673259156738
four_support,expression,cubic_t__lambda_0.0001,False,cubic_t,0.0001,22754,22754,22754,True,247,247,-1.471599411402059,1290.8724641276433,73.68337976372369,0.06467519208751293,0.25673526922181167,0.4045207916941281,2.93095235008793,233,247,566,0.024874747297178517,37916167006.00222,0.915317328889617,0.9990401560440059,0.9999337297653416
four_support,expression,cubic_t__lambda_0.01,False,cubic_t,0.01,22754,22754,22754,True,247,247,-1.7180239765465783,1353.6953498445812,86.45987565527,0.08490665268257383,0.2928210836986594,0.4810835925395653,3.2701389603552022,230,247,608,0.026720576601916148,41696502493.74245,0.9044276348446232,0.9987668449385543,0.9999056003225766
four_support,expression,cubic_t__lambda_1,False,cubic_t,1.0,22754,22754,22754,True,247,247,-1.4474160905145363,1284.541680762272,103.20425461006691,0.26108861545128553,0.49020255318730455,0.5833421563450317,3.5735198689964998,188,247,126,0.005537487914212886,37545176938.072525,0.8905546025899461,0.9978539933838758,0.9993989749704213
