family,seed,gauge_id,rows,accepted_step_fraction_original,accepted_step_fraction_gauge,exact_step_scale_match,max_abs_step_scale_difference
polynomial,0,0,720,0.19583333333333333,0.19583333333333333,True,0.0
polynomial,0,1,720,0.19583333333333333,0.19583333333333333,True,0.0
polynomial,0,2,720,0.19583333333333333,0.19583333333333333,True,0.0
polynomial,0,3,720,0.19583333333333333,0.19583333333333333,True,0.0
polynomial,0,4,720,0.19583333333333333,0.19583333333333333,True,0.0
polynomial,1,0,720,0.2125,0.2125,True,0.0
polynomial,1,1,720,0.2125,0.2125,True,0.0
polynomial,1,2,720,0.2125,0.2125,True,0.0
polynomial,1,3,720,0.2125,0.2125,True,0.0
polynomial,1,4,720,0.2125,0.2125,True,0.0
polynomial,2,0,720,0.2013888888888889,0.2013888888888889,True,0.0
polynomial,2,1,720,0.2013888888888889,0.2013888888888889,True,0.0
polynomial,2,2,720,0.2013888888888889,0.2013888888888889,True,0.0
polynomial,2,3,720,0.2013888888888889,0.2013888888888889,True,0.0
polynomial,2,4,720,0.2013888888888889,0.2013888888888889,True,0.0
polynomial,3,0,720,0.2222222222222222,0.2222222222222222,True,0.0
polynomial,3,1,720,0.2222222222222222,0.2222222222222222,True,0.0
polynomial,3,2,720,0.2222222222222222,0.2222222222222222,True,0.0
polynomial,3,3,720,0.2222222222222222,0.2222222222222222,True,0.0
polynomial,3,4,720,0.2222222222222222,0.2222222222222222,True,0.0
polynomial,4,0,720,0.20416666666666666,0.20416666666666666,True,0.0
polynomial,4,1,720,0.20416666666666666,0.20416666666666666,True,0.0
polynomial,4,2,720,0.20416666666666666,0.20416666666666666,True,0.0
polynomial,4,3,720,0.20416666666666666,0.20416666666666666,True,0.0
polynomial,4,4,720,0.20416666666666666,0.20416666666666666,True,0.0
relaxation,0,0,720,0.23194444444444445,0.23194444444444445,True,0.0
relaxation,0,1,720,0.23194444444444445,0.23194444444444445,True,0.0
relaxation,0,2,720,0.23194444444444445,0.23194444444444445,True,0.0
relaxation,0,3,720,0.23194444444444445,0.23194444444444445,True,0.0
relaxation,0,4,720,0.23194444444444445,0.23194444444444445,True,0.0
relaxation,1,0,720,0.25277777777777777,0.25277777777777777,True,0.0
relaxation,1,1,720,0.25277777777777777,0.25277777777777777,True,0.0
relaxation,1,2,720,0.25277777777777777,0.25277777777777777,True,0.0
relaxation,1,3,720,0.25277777777777777,0.25277777777777777,True,0.0
relaxation,1,4,720,0.25277777777777777,0.25277777777777777,True,0.0
relaxation,2,0,720,0.18333333333333332,0.18333333333333332,True,0.0
relaxation,2,1,720,0.18333333333333332,0.18333333333333332,True,0.0
relaxation,2,2,720,0.18333333333333332,0.18333333333333332,True,0.0
relaxation,2,3,720,0.18333333333333332,0.18333333333333332,True,0.0
relaxation,2,4,720,0.18333333333333332,0.18333333333333332,True,0.0
relaxation,3,0,720,0.20972222222222223,0.20972222222222223,True,0.0
relaxation,3,1,720,0.20972222222222223,0.20972222222222223,True,0.0
relaxation,3,2,720,0.20972222222222223,0.20972222222222223,True,0.0
relaxation,3,3,720,0.20972222222222223,0.20972222222222223,True,0.0
relaxation,3,4,720,0.20972222222222223,0.20972222222222223,True,0.0
relaxation,4,0,720,0.225,0.225,True,0.0
relaxation,4,1,720,0.225,0.225,True,0.0
relaxation,4,2,720,0.225,0.225,True,0.0
relaxation,4,3,720,0.225,0.225,True,0.0
relaxation,4,4,720,0.225,0.225,True,0.0
thermodynamic_chart,0,0,720,0.6277777777777778,0.6277777777777778,True,0.0
thermodynamic_chart,0,1,720,0.6277777777777778,0.6277777777777778,True,0.0
thermodynamic_chart,0,2,720,0.6277777777777778,0.6277777777777778,True,0.0
thermodynamic_chart,0,3,720,0.6277777777777778,0.6277777777777778,True,0.0
thermodynamic_chart,0,4,720,0.6277777777777778,0.6277777777777778,True,0.0
thermodynamic_chart,1,0,720,0.20972222222222223,0.20972222222222223,True,0.0
thermodynamic_chart,1,1,720,0.20972222222222223,0.20972222222222223,True,0.0
thermodynamic_chart,1,2,720,0.20972222222222223,0.20972222222222223,True,0.0
thermodynamic_chart,1,3,720,0.20972222222222223,0.20972222222222223,True,0.0
thermodynamic_chart,1,4,720,0.20972222222222223,0.20972222222222223,True,0.0
thermodynamic_chart,2,0,720,0.4111111111111111,0.4111111111111111,True,0.0
thermodynamic_chart,2,1,720,0.4111111111111111,0.4111111111111111,True,0.0
thermodynamic_chart,2,2,720,0.4111111111111111,0.4111111111111111,True,0.0
thermodynamic_chart,2,3,720,0.4111111111111111,0.4111111111111111,True,0.0
thermodynamic_chart,2,4,720,0.4111111111111111,0.4111111111111111,True,0.0
thermodynamic_chart,3,0,720,0.48333333333333334,0.48333333333333334,True,0.0
thermodynamic_chart,3,1,720,0.48333333333333334,0.48333333333333334,True,0.0
thermodynamic_chart,3,2,720,0.48333333333333334,0.48333333333333334,True,0.0
thermodynamic_chart,3,3,720,0.48333333333333334,0.48333333333333334,True,0.0
thermodynamic_chart,3,4,720,0.48333333333333334,0.48333333333333334,True,0.0
thermodynamic_chart,4,0,720,0.6527777777777778,0.6527777777777778,True,0.0
thermodynamic_chart,4,1,720,0.6527777777777778,0.6527777777777778,True,0.0
thermodynamic_chart,4,2,720,0.6527777777777778,0.6527777777777778,True,0.0
thermodynamic_chart,4,3,720,0.6527777777777778,0.6527777777777778,True,0.0
thermodynamic_chart,4,4,720,0.6527777777777778,0.6527777777777778,True,0.0
