family,seed,method,gauge_id,condition_number,query_response_max_abs_difference,functional_prediction_max_abs_difference,functional_coordinate_max_abs_difference,raw_q_max_abs_change
polynomial,0,mapped_start_adam,0,2.9927027134601363,0.0003079078704778006,0.0003321105025291,0.0006288374459674229,0.905246297123183
polynomial,0,mapped_start_adam,1,4.891881984213748,6.446186954134348e-05,6.772442428459868e-05,0.00011558414101919823,1.6293489038430862
polynomial,0,mapped_start_adam,2,5.598362775423673,7.553787670921963e-07,7.656630329755387e-07,7.11570945388651e-07,1.6761030362818774
polynomial,0,mapped_start_adam,3,3.175180316847874,0.0007331389498744789,0.0007376599327186002,0.0015322952202938556,1.0529059195730939
polynomial,0,mapped_start_adam,4,5.634134873713808,0.006019041108454637,0.006377844232441809,0.012607375995031256,2.897067848738679
polynomial,0,response_metric_gauss_newton,0,2.9927027134601363,2.7200464103316335e-15,2.3314683517128287e-15,2.3314683517128287e-15,0.9052459289932149
polynomial,0,response_metric_gauss_newton,1,4.891881984213748,2.6645352591003757e-15,2.220446049250313e-15,2.4424906541753444e-15,1.6293356133410084
polynomial,0,response_metric_gauss_newton,2,5.598362775423673,2.6645352591003757e-15,2.4424906541753444e-15,2.7755575615628914e-15,1.6761028293063243
polynomial,0,response_metric_gauss_newton,3,3.175180316847874,2.6922908347160046e-15,2.220446049250313e-15,2.220446049250313e-15,1.0529061130297812
polynomial,0,response_metric_gauss_newton,4,5.634134873713808,2.220446049250313e-15,1.7763568394002505e-15,1.3322676295501878e-15,2.897100538390556
polynomial,1,mapped_start_adam,0,4.253803609277522,0.004414053609203217,0.004155202225156196,0.008203019632550657,1.3406009530469682
polynomial,1,mapped_start_adam,1,6.097456003315128,0.027599667085757673,0.025473344660978725,0.054124902358118177,2.0586961699346937
polynomial,1,mapped_start_adam,2,2.4983380495672782,0.0011057194891825883,0.0010944314909245856,0.0008661189042223072,1.242292721872684
polynomial,1,mapped_start_adam,3,2.797533404006331,7.003579513220615e-06,7.4320259587021265e-06,1.3821379616474339e-05,1.2334104111467203
polynomial,1,mapped_start_adam,4,4.483026374384753,6.131098300166116e-07,6.103294194481634e-07,4.6183072444083706e-07,1.39592628457686
polynomial,1,response_metric_gauss_newton,0,4.253803609277522,2.4424906541753444e-15,1.7763568394002505e-15,1.5543122344752192e-15,1.3406009299409567
polynomial,1,response_metric_gauss_newton,1,6.097456003315128,2.275957200481571e-15,1.7763568394002505e-15,1.5543122344752192e-15,2.058696546085044
polynomial,1,response_metric_gauss_newton,2,2.4983380495672782,1.9984014443252818e-15,1.9984014443252818e-15,1.3322676295501878e-15,1.2422926333991215
polynomial,1,response_metric_gauss_newton,3,2.797533404006331,2.6645352591003757e-15,1.7763568394002505e-15,1.3322676295501878e-15,1.2334103439978223
polynomial,1,response_metric_gauss_newton,4,4.483026374384753,2.192690473634684e-15,1.7763568394002505e-15,1.7208456881689926e-15,1.3959261607167701
polynomial,2,mapped_start_adam,0,5.398448388604833,7.878969068286779e-07,7.97530937735047e-07,5.057238678940479e-07,1.6261551891103458
polynomial,2,mapped_start_adam,1,3.507244455405496,0.007827270068375594,0.007933308654736598,0.007030148185943205,1.1696069479670428
polynomial,2,mapped_start_adam,2,6.387146406102767,0.00020814924548462344,0.00020060450915160288,0.0003202531828998545,2.171035357570364
polynomial,2,mapped_start_adam,3,6.10096059815392,0.024281255191861195,0.027201565844283238,0.0467554589711332,2.9123152204513216
polynomial,2,mapped_start_adam,4,6.118665065899357,0.1355270410858309,0.14305949342440982,0.2508221652471332,1.738668748301748
polynomial,2,response_metric_gauss_newton,0,5.398448388604833,2.220446049250313e-15,1.7763568394002505e-15,1.3322676295501878e-15,1.626155510019211
polynomial,2,response_metric_gauss_newton,1,3.507244455405496,1.7763568394002505e-15,1.8041124150158794e-15,1.4432899320127035e-15,1.1696067318524133
polynomial,2,response_metric_gauss_newton,2,6.387146406102767,2.4424906541753444e-15,1.5543122344752192e-15,1.6653345369377348e-15,2.171035571319368
polynomial,2,response_metric_gauss_newton,3,6.10096059815392,1.9984014443252818e-15,2.1996293675385914e-15,1.3322676295501878e-15,2.9135976661097835
polynomial,2,response_metric_gauss_newton,4,6.118665065899357,1.9984014443252818e-15,2.220446049250313e-15,1.3877787807814457e-15,1.7387249344129303
polynomial,3,mapped_start_adam,0,4.3561535341200734,0.014234905619056382,0.012887300366719923,0.025737475349122296,1.2881326576210699
polynomial,3,mapped_start_adam,1,6.003275690612484,0.002246786099211473,0.002154224116792558,0.0036939276124371423,1.2291861981043768
polynomial,3,mapped_start_adam,2,7.609038824684695,0.08625700091589472,0.09229725876255923,0.1533551913350092,2.8639445766834055
polynomial,3,mapped_start_adam,3,2.485717818650113,6.894229929166329e-07,6.903366944754907e-07,5.062661203592e-07,1.077717314812046
polynomial,3,mapped_start_adam,4,3.836387636907804,0.0024466085097956114,0.0022118327768225997,0.004687710910832088,1.3285497711147232
polynomial,3,response_metric_gauss_newton,0,4.3561535341200734,1.7763568394002505e-15,2.6645352591003757e-15,1.6653345369377348e-15,1.2881329850575538
polynomial,3,response_metric_gauss_newton,1,6.003275690612484,1.9984014443252818e-15,1.9984014443252818e-15,1.5543122344752192e-15,1.229186038375354
polynomial,3,response_metric_gauss_newton,2,7.609038824684695,2.6645352591003757e-15,1.9984014443252818e-15,1.9984014443252818e-15,3.107110175754255
polynomial,3,response_metric_gauss_newton,3,2.485717818650113,1.9984014443252818e-15,1.7763568394002505e-15,1.4016565685892601e-15,1.0777169362858143
polynomial,3,response_metric_gauss_newton,4,3.836387636907804,2.4424906541753444e-15,2.220446049250313e-15,1.4432899320127035e-15,1.3285441649381067
polynomial,4,mapped_start_adam,0,4.75885734317324,9.351698393444963e-07,1.0280223974312719e-06,1.614507945779664e-06,1.63449365446926
polynomial,4,mapped_start_adam,1,2.227151137948889,8.274629053062199e-07,8.649811755745418e-07,9.944174541032247e-07,1.133498740515498
polynomial,4,mapped_start_adam,2,2.98302973604984,3.224483930919231e-06,3.362144587903959e-06,5.791234007679336e-06,1.7378173401776635
polynomial,4,mapped_start_adam,3,5.98555802497159,0.0021369350211563054,0.0021263236544746267,0.0014818247227277037,1.8363937861402462
polynomial,4,mapped_start_adam,4,3.4131421018341035,1.4924034226204697e-06,1.6636773882972022e-06,2.764868753724059e-06,1.428477682651219
polynomial,4,response_metric_gauss_newton,0,4.75885734317324,2.4424906541753444e-15,2.4424906541753444e-15,2.3314683517128287e-15,1.6344938856451297
polynomial,4,response_metric_gauss_newton,1,2.227151137948889,2.1024848528838902e-15,2.220446049250313e-15,1.3322676295501878e-15,1.1334988685351932
polynomial,4,response_metric_gauss_newton,2,2.98302973604984,1.7763568394002505e-15,2.220446049250313e-15,1.7763568394002505e-15,1.737817082615307
polynomial,4,response_metric_gauss_newton,3,5.98555802497159,2.3037127760972e-15,1.9984014443252818e-15,1.9984014443252818e-15,1.836394307066127
polynomial,4,response_metric_gauss_newton,4,3.4131421018341035,1.9984014443252818e-15,2.220446049250313e-15,1.5543122344752192e-15,1.4284773706402794
relaxation,0,mapped_start_adam,0,2.9927027134601363,0.09048306901060077,0.09024617851377781,0.26499152003057036,1.4290727660347873
relaxation,0,mapped_start_adam,1,4.891881984213748,0.11352252601840696,0.11227983602315672,0.9296160398910334,1.6988662729994264
relaxation,0,mapped_start_adam,2,5.598362775423673,0.13643903356103992,0.12950311331141195,1.111856198836146,0.8708785267231447
relaxation,0,mapped_start_adam,3,3.175180316847874,0.12745942183177372,0.1260802455073881,1.0955104857564864,1.0113661689228817
relaxation,0,mapped_start_adam,4,5.634134873713808,0.14058122678041418,0.13888989519740558,1.2181186887771438,2.296496596659043
relaxation,0,response_metric_gauss_newton,0,2.9927027134601363,2.4424906541753444e-15,1.6653345369377348e-15,3.774758283725532e-15,1.4291272048083203
relaxation,0,response_metric_gauss_newton,1,4.891881984213748,1.7763568394002505e-15,1.9984014443252818e-15,4.6629367034256575e-15,2.0739841400021297
relaxation,0,response_metric_gauss_newton,2,5.598362775423673,2.4424906541753444e-15,1.7763568394002505e-15,3.774758283725532e-15,1.2474987674598201
relaxation,0,response_metric_gauss_newton,3,3.175180316847874,2.4424906541753444e-15,3.1086244689504383e-15,5.329070518200751e-15,1.3435166723609393
relaxation,0,response_metric_gauss_newton,4,5.634134873713808,3.3306690738754696e-15,2.6645352591003757e-15,4.6629367034256575e-15,3.3115859888887984
relaxation,1,mapped_start_adam,0,4.253803609277522,0.170328039610394,0.1456990828879241,1.2707255323271838,1.500077862617318
relaxation,1,mapped_start_adam,1,6.097456003315128,0.13983596891270844,0.11846725946145487,1.0709545645152754,1.9414248262482963
relaxation,1,mapped_start_adam,2,2.4983380495672782,0.021536210561687974,0.01820883239551141,0.1531934960403799,1.3112883447897286
relaxation,1,mapped_start_adam,3,2.797533404006331,0.022732001923823075,0.019572061017279818,0.16346917807217687,1.2981001304194042
relaxation,1,mapped_start_adam,4,4.483026374384753,0.05064340702632708,0.043970812701352724,0.4029784048898315,1.0421145419699742
relaxation,1,response_metric_gauss_newton,0,4.253803609277522,3.3306690738754696e-15,2.6645352591003757e-15,1.4654943925052066e-14,2.2008163413737205
relaxation,1,response_metric_gauss_newton,1,6.097456003315128,2.55351295663786e-15,2.220446049250313e-15,5.773159728050814e-15,3.4500295121322035
relaxation,1,response_metric_gauss_newton,2,2.4983380495672782,2.3314683517128287e-15,3.219646771412954e-15,7.105427357601002e-15,1.6126684554485702
relaxation,1,response_metric_gauss_newton,3,2.797533404006331,3.1086244689504383e-15,2.7755575615628914e-15,5.440092820663267e-15,1.6666623412137618
relaxation,1,response_metric_gauss_newton,4,4.483026374384753,3.6637359812630166e-15,3.4416913763379853e-15,8.215650382226158e-15,1.0496892799223339
relaxation,2,mapped_start_adam,0,5.398448388604833,0.004086592603486983,0.004003527774540494,0.027223211585515772,1.5455154559089932
relaxation,2,mapped_start_adam,1,3.507244455405496,0.04074829902410504,0.03655916033908868,0.31016947829055463,0.9433054383021237
relaxation,2,mapped_start_adam,2,6.387146406102767,0.1207999672468012,0.11943909693248256,0.9909763896216497,1.8027311944845978
relaxation,2,mapped_start_adam,3,6.10096059815392,0.10622507460712804,0.09967275628759342,0.8829322654420901,1.9367445959041978
relaxation,2,mapped_start_adam,4,6.118665065899357,0.1543810721901442,0.14221638116156,1.2201149897710228,1.3743446671712283
relaxation,2,response_metric_gauss_newton,0,5.398448388604833,1.7763568394002505e-15,2.6645352591003757e-15,5.773159728050814e-15,1.545515691531004
relaxation,2,response_metric_gauss_newton,1,3.507244455405496,1.3322676295501878e-15,1.7763568394002505e-15,4.6629367034256575e-15,1.0365075271209174
relaxation,2,response_metric_gauss_newton,2,6.387146406102767,1.9984014443252818e-15,1.7763568394002505e-15,5.3013149425851225e-15,1.8028077291661153
relaxation,2,response_metric_gauss_newton,3,6.10096059815392,1.9984014443252818e-15,1.7763568394002505e-15,3.774758283725532e-15,2.0296786788000087
relaxation,2,response_metric_gauss_newton,4,6.118665065899357,3.552713678800501e-15,3.552713678800501e-15,4.884981308350689e-15,1.5711422079350428
relaxation,3,mapped_start_adam,0,4.3561535341200734,0.02233696837842114,0.022388533511358943,0.1687801959280435,1.5546084355442669
relaxation,3,mapped_start_adam,1,6.003275690612484,0.11384466588910147,0.10558390610324486,0.7941956959702328,1.1981454408086232
relaxation,3,mapped_start_adam,2,7.609038824684695,0.10101127751745587,0.10057424791562974,0.8562999643445268,2.1050974072591484
relaxation,3,mapped_start_adam,3,2.485717818650113,0.04968433607955469,0.048818411762793,0.4145444460749519,0.9305779109010271
relaxation,3,mapped_start_adam,4,3.836387636907804,0.005592548489735227,0.005332542035780818,0.04352487335678923,1.333543058241341
relaxation,3,response_metric_gauss_newton,0,4.3561535341200734,2.6645352591003757e-15,2.4424906541753444e-15,3.9968028886505635e-15,1.5546082424150622
relaxation,3,response_metric_gauss_newton,1,6.003275690612484,2.220446049250313e-15,2.220446049250313e-15,3.774758283725532e-15,1.198145116814201
relaxation,3,response_metric_gauss_newton,2,7.609038824684695,1.7763568394002505e-15,2.6645352591003757e-15,5.773159728050814e-15,2.6453019426620497
relaxation,3,response_metric_gauss_newton,3,2.485717818650113,2.6645352591003757e-15,2.220446049250313e-15,4.218847493575595e-15,0.9153398903789804
relaxation,3,response_metric_gauss_newton,4,3.836387636907804,4.440892098500626e-15,2.886579864025407e-15,5.218048215738236e-15,1.3335431264486235
relaxation,4,mapped_start_adam,0,4.75885734317324,0.2545347393872659,0.25241426713627835,2.020257901401849,1.649603965822714
relaxation,4,mapped_start_adam,1,2.227151137948889,0.01896426500071824,0.020112623201552715,0.17000388800435262,1.0420690048986327
relaxation,4,mapped_start_adam,2,2.98302973604984,0.013584411717185052,0.01466330806826699,0.12338095472238542,1.6397363873456803
