family,entity_id,doi,physical_r2,log_r2,physical_nrmse
functional_v_log,KKOXKGNSUHTUBV-LSDHHAIUSA-N,10.1016/j.jct.2019.06.011,0.9954260228520334,0.9995853679555066,0.067631184729876
functional_v_log,LDTMPQQAWUMPKS-OWOJBTEDSA-N,10.1021/acs.jced.9b00001,0.9956086332236174,0.9964407496214616,0.0662673884831947
functional_v_log,LRESCJAINPKJTO-UHFFFAOYSA-N,10.1016/j.tca.2015.03.020,0.970545195128267,0.9812781669205257,0.17162402183765849
functional_v_log,MFFMQGGZCLEMCI-UHFFFAOYSA-N,10.1016/j.jct.2017.09.005,0.9974458132737665,0.9997199307559261,0.05053896245703428
functional_v_log,MHNNAWXXUZQSNM-UHFFFAOYSA-N,10.1021/acs.jced.7b00148,0.9107833571914518,0.9845554358242057,0.2986915512841771
functional_v_log,MIZLGWKEZAPEFJ-UHFFFAOYSA-N,10.1021/acs.jced.7b00818,0.9896200247890378,0.9778412789799025,0.1018821633602381
functional_v_log,MMCPOSDMTGQNKG-UHFFFAOYSA-N,10.1016/j.fluid.2015.12.053,0.8771664991972306,0.945608690787467,0.35047610589420997
functional_v_log,MZQZQKZKTGRQCG-UHFFFAOYSA-J,10.1016/j.jct.2017.05.008,-285.4484641698807,-26.975521526903982,16.92478845273644
functional_v_log,NHTMVDHEPJAVLT-UHFFFAOYSA-N,10.1016/j.fluid.2015.05.002,0.988013856989521,0.996192489661648,0.10948124501702976
functional_v_log,NLAQSJDWYQLILD-UHFFFAOYSA-N,10.1016/j.jct.2018.10.007,0.9144208126993203,0.9854762959100529,0.29253920643339365
functional_v_log,NYJDFGBMGPOULY-UHFFFAOYSA-N,10.1016/j.jct.2018.10.007,0.9571334498197139,0.9909713081266065,0.20704238739998648
functional_v_log,NZMAJUHVSZBJHL-UHFFFAOYSA-N,10.1016/j.fluid.2019.04.036,0.9959098850247677,0.9983237249640566,0.0639540067175803
functional_v_log,OWFNNCHTAVHPBL-UHFFFAOYSA-N,10.1021/acs.jced.5b00255,0.9986352166307946,0.9995418918513307,0.036942974558168334
functional_v_log,PAPNRQCYSFBWDI-UHFFFAOYSA-N,10.1016/j.jct.2017.09.005,0.9972363834092106,0.9996175448515697,0.05257011119247733
functional_v_log,PDSNLYSELAIEBU-RMRHIDDWSA-N,10.1016/j.jct.2018.12.013,0.9975896028980172,0.9999283302323636,0.049095795155825135
functional_v_log,PHWISBHSBNDZDX-LSDHHAIUSA-N,10.1016/j.jct.2019.06.011,0.9955120297548952,0.9996037080141535,0.06699231482121559
functional_v_log,PPNRRQMJESAXGJ-SREVYHEPSA-N,10.1021/acs.jced.5b00892,0.9923295185201206,0.998869957792555,0.087581284986459
functional_v_log,PQNFLJBBNBOBRQ-UHFFFAOYSA-N,10.1016/j.jct.2015.12.005,0.9999755650786581,0.9999365666704916,0.004943169159742657
functional_v_log,PVOAHINGSUIXLS-UHFFFAOYSA-N,10.1021/acs.jced.6b00576,0.987913075543427,0.9980794044447894,0.10994054964649295
functional_v_log,QDFKKJYEIFBEFC-UHFFFAOYSA-N,10.1016/j.fluid.2014.12.023,0.9701578402712618,0.9924113754969672,0.172748834232646
functional_v_log,QGFKEJNZCFQRPM-UHFFFAOYSA-N,10.1016/j.jct.2018.10.007,0.9491895046834201,0.9683091834045704,0.22541183490797442
functional_v_log,QJMGASHUZRHZBT-UHFFFAOYSA-N,10.1021/je5010593,0.9370836780083225,0.9759752297494532,0.25083126199036176
functional_v_log,QLCJOAMJPCOIDI-UHFFFAOYSA-N,10.1016/j.jct.2016.06.025,0.9993475730690159,0.9992284192774612,0.02554264925539508
functional_v_log,QQGNLKJAIVSNCO-UHFFFAOYSA-N,10.1016/j.fluid.2019.04.036,0.9849078389785318,0.9974141759674541,0.1228501567824323
functional_v_log,QTUGGVBKWIYQSS-UHFFFAOYSA-N,10.1021/je500784s,0.9982227704635128,0.9993138354170503,0.04215720029232488
functional_v_log,RFEQLTBBKNKGGJ-YTXTXJHMSA-N,10.1021/acs.jced.5b00892,0.9973902715053516,0.9996562066758606,0.051085501804801724
functional_v_log,RGZSQWQPBWRIAQ-CABCVRRESA-N,10.1016/j.jct.2016.11.027,0.953856709451235,0.999407721245025,0.21480989397317118
functional_v_log,RWCCWEUUXYIKHB-UHFFFAOYSA-N,10.1016/j.fluid.2014.11.026,0.9965333045805281,0.9983848686186948,0.05887864994607012
functional_v_log,SMIOEQSLJNNKQF-UHFFFAOYSA-N,10.1016/j.jct.2016.12.012,0.9826722358013991,0.9928631711062237,0.1316349657142848
functional_v_log,SNRUBQQJIBEYMU-UHFFFAOYSA-N,10.1016/j.tca.2015.03.020,0.9760514966455184,0.9994754800602395,0.15475303988769207
functional_v_log,SUAKHGWARZSWIH-UHFFFAOYSA-N,10.1016/j.fluid.2019.04.036,0.9996084208408742,0.9994416073619881,0.019788359182252087
functional_v_log,SUCYDSJQVVGOIW-WAYWQWQTSA-N,10.1021/acs.jced.5b00892,0.99782903883065,0.9996473674357732,0.04659357433541654
functional_v_log,SVURIXNDRWRAFU-OGMFBOKVSA-N,10.1016/j.jct.2017.07.018,0.9401146249649673,0.9988930739247165,0.2447148851930194
functional_v_log,UAHWPYUMFXYFJY-UHFFFAOYSA-N,10.1016/j.jct.2018.12.013,0.9985910560191131,0.9995839017150117,0.037535902558574676
functional_v_log,UPIJOAFHOIWPLT-UHFFFAOYSA-N,10.1021/acs.jced.6b00470,0.9996619442766206,0.9998778209364523,0.018386291724528544
functional_v_log,UQDUPQYQJKYHQI-UHFFFAOYSA-N,10.1016/j.jct.2019.01.007,0.9917035236076759,0.9982756916996244,0.09108499542912746
functional_v_log,VLLNJDMHDJRNFK-UHFFFAOYSA-N,10.1016/j.jct.2017.07.018,0.9995480991520248,0.999480350547237,0.021257959638102182
functional_v_log,VMYXUZSZMNBRCN-CQSZACIVSA-N,10.1016/j.jct.2019.06.011,0.996059253154143,0.9996786948257641,0.06277536814592927
functional_v_log,WBAXCOMEMKANRN-UHFFFAOYSA-N,10.1021/acs.jced.5b00943,0.9870440721148978,0.9950749425226899,0.1138241094193239
functional_v_log,WYJOVVXUZNRJQY-UHFFFAOYSA-N,10.1016/j.fluid.2016.10.026,0.9990600515869826,0.9998081872789576,0.030658578131045375
functional_v_log,XDEOCNXROZOGPZ-UHFFFAOYSA-N,10.1016/j.fluid.2016.08.022,0.9546307269890131,0.9795986636573507,0.2130006408698972
functional_v_log,XFTIKWYXFSNCQF-UHFFFAOYSA-N,10.1016/j.fluid.2019.04.036,0.9981280192819236,0.9989990871447468,0.04326639247818572
functional_v_log,XJHCXCQVJFPJIK-UHFFFAOYSA-M,10.1016/j.jct.2017.05.008,-5.397327653913246,-1.4854505471618582,2.5292939042177855
functional_v_log,XPKRTVFFOQAGAS-UHFFFAOYSA-N,10.1016/j.jct.2018.10.007,0.9062214050899322,0.9819850170410716,0.3062329095803842
functional_v_log,YJINQJFQLQIYHX-SNAWJCMRSA-N,10.1021/acs.jced.5b00892,0.9983827604785657,0.9993230983683453,0.040214916653331156
functional_v_log,YWAKXRMUMFPDSH-UHFFFAOYSA-N,10.1021/acs.jced.7b00148,0.9447103075306548,0.9880090631008761,0.23513760326529062
functional_v_log,ZAZKJZBWRNNLDS-UHFFFAOYSA-N,10.1016/j.jct.2019.01.007,0.9574228634857374,0.993215786121742,0.20634227999676322
functional_v_log,ZPHGMBGIFODUMF-UHFFFAOYSA-N,10.1016/j.jct.2017.07.008,0.9965575787329826,0.9986338408748139,0.05867215069364185
functional_v_log,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,10.1021/acs.jced.5b00537,0.9998741789182545,0.9998163203720678,0.01121699967662847
no_q_global_selected_formula,AOHJOMMDDJHIJH-UHFFFAOYSA-N,10.1016/j.jct.2015.03.011,0.09170109291203965,-0.25019980977298695,0.9530471693929742
no_q_global_selected_formula,ARXJGSRGQADJSQ-UHFFFAOYSA-N,10.1021/acs.jced.8b00845,-2.3703359003661664,-22.484802403423714,1.8358474610833455
no_q_global_selected_formula,AXTXARBFPWQUQA-UHFFFAOYSA-M,10.1016/j.jct.2018.10.007,-2.1117959096031283e+17,-162.23594552739374,459542806.4504032
no_q_global_selected_formula,BCXRMAKDYDNZHG-UHFFFAOYSA-N,10.1016/j.jct.2018.10.007,-2.422006973958181e+16,-116.61537672511349,155627985.0784614
no_q_global_selected_formula,BJIOGJUNALELMI-ONEGZZNKSA-N,10.1016/j.fluid.2019.03.004,-17316.84197530217,-25.0020022969394,131.59727191436065
no_q_global_selected_formula,BKOOMYPCSUNDGP-UHFFFAOYSA-N,10.1021/acs.jced.7b00148,-2.2572352361816597,-28.822339576062074,1.8047812155997356
no_q_global_selected_formula,CATSNJVOTSVZJV-UHFFFAOYSA-N,10.1021/je500731x,-2.2215602742548413,-9.915209425801285,1.794870545263597
no_q_global_selected_formula,CNUDBTRUORMMPA-UHFFFAOYSA-N,10.1016/j.jct.2017.07.008,-0.3834595064766966,0.17467768459211497,1.1762055545170227
no_q_global_selected_formula,CQUAYTJDLQBXCQ-NHYWBVRUSA-N,10.1016/j.jct.2018.12.013,-0.022525472414314684,0.2822759122639297,1.0112000160276475
no_q_global_selected_formula,DCAYPVUWAIABOU-UHFFFAOYSA-N,10.1016/j.tca.2015.03.020,0.41041390029031843,-0.45401692617376743,0.7678451013776683
no_q_global_selected_formula,DMGGLIWGZFZLIY-UHFFFAOYSA-N,10.1016/j.jct.2019.04.014,-0.40399490483368194,-0.10241169087487068,1.1849029094544759
no_q_global_selected_formula,DUCVQKMNGSZPAV-KHPPLWFESA-N,10.1021/acs.jced.5b00892,0.0234646948947701,-0.735080349172192,0.9881980090575118
no_q_global_selected_formula,FFUAGWLWBBFQJT-UHFFFAOYSA-N,10.1016/j.tca.2015.02.004,-0.5567868156438935,-0.6429471930666386,1.2477126334392439
no_q_global_selected_formula,FLIACVVOZYBSBS-UHFFFAOYSA-N,10.1016/j.jct.2019.01.007,-2243.0412567504322,-18.63422668280463,47.37131259264865
no_q_global_selected_formula,FQTLCLSUCSAZDY-KAMYIIQDSA-N,10.1016/j.jct.2017.07.018,0.16852535621277187,-0.28929040388610616,0.911852314679975
no_q_global_selected_formula,FQTLCLSUCSAZDY-SDNWHVSQSA-N,10.1016/j.jct.2017.07.018,0.1752386183807041,-0.34300204324454553,0.9081637416343463
no_q_global_selected_formula,FYQGBXGJFWXIPP-OJROSNHMSA-N,10.1021/acs.jced.5b00892,-7.292379901094046,-1.3393420451589808,2.8796492670278524
no_q_global_selected_formula,FZRBKIRIBLNOAM-WHVZTFIZSA-N,10.1021/acs.jced.5b00892,-21.127293423592786,-1.6306106701175973,4.703965712416788
no_q_global_selected_formula,GSNUFIFRDBKVIE-UHFFFAOYSA-N,10.1016/j.tca.2015.08.013,-1.8697366488824607,-5.173835513577204,1.6940297072018722
no_q_global_selected_formula,GTMJAZZZRLZFSC-UHFFFAOYSA-N,10.1016/j.jct.2016.05.020,-70.63750473101983,-6.7648326695200485,8.463894182409172
no_q_global_selected_formula,GXOHBWLPQHTYPF-UHFFFAOYSA-N,10.1016/j.jct.2018.07.029,-361.7812939585536,-13.041522937373697,19.04681847339743
no_q_global_selected_formula,HLPIHRDZBHXTFJ-UHFFFAOYSA-N,10.1021/acs.jced.8b00153,-1.633033456849986,-6.512646762136086,1.6226624593087702
no_q_global_selected_formula,HNVRRHSXBLFLIG-UHFFFAOYSA-N,10.1016/j.jct.2015.07.028,-0.5599631331282493,-0.24955042908583414,1.2489848410322077
no_q_global_selected_formula,HPEUJPJOZXNMSJ-UHFFFAOYSA-N,10.1016/j.jct.2019.01.007,-79467.70121959483,-29.90723719242241,281.90193546620924
no_q_global_selected_formula,HUEBIMLTDXKIPR-UHFFFAOYSA-N,10.1016/j.jct.2019.01.007,-85748.38586509788,-18.066873233437757,292.82996066847033
no_q_global_selected_formula,HYNYWFRJHNNLJA-UHFFFAOYSA-N,10.1016/j.jct.2018.10.007,-1.856598246351431e+18,-175.44368594462418,1362570455.5550258
no_q_global_selected_formula,ILVXOBCQQYKLDS-UHFFFAOYSA-N,10.1016/j.jct.2019.04.014,0.37489799481092767,0.2749442011094635,0.7906339261561398
