scope,heldout_fold,candidate_id,gamma,degree,atom,delta,entity_count,valid_entity_count,exact_prediction_coverage,median_entity_nrmse,p95_entity_nrmse,base_median_entity_nrmse,base_p95_entity_nrmse,entity_pass_count,base_pass_count,negative_prediction_count,base_negative_prediction_count,pooled_sse,base_pooled_sse,routed_entity_count,eligible,constraint_rule,selected,minimum_eligible_sse,one_percent_tie,tie_rule,nearest_lower_training_ratio,nearest_upper_training_ratio,log_margin,routing_vector_sha256
outer_training,0,gamma_200__d1__atom_inverse_sqrt__delta_0.003,200,1,inverse_sqrt,0.003,203,203,True,0.030116340881357884,0.18743171856200302,0.030116340881357884,0.18743171856200302,198,197,465,485,74898445.71934296,76474235.01322034,1,True,coverage; median_nrmse<=1.10*base; p95<=1.50*base; pass_count>=base-2; negative_count<=base,True,74423628.63040197,True,within_1_percent_then_fewer_routed_then_smaller_degree_then_atom_order_then_larger_delta_then_max_log_margin_then_larger_gamma,45.290621819656025,564.4087039877325,1.034243931471261,e3d67d655f88681fbc95062f7bb5f6a9c77417bb24f37a70abfffc764ec1357f
outer_training,1,gamma_100__d2__atom_inverse_sqrt__delta_0.0003,100,2,inverse_sqrt,0.0003,195,195,True,0.02740079512034304,0.18494582001495477,0.02740079512034304,0.19813952131863014,191,189,537,578,246891580.6146188,5780257424.190689,3,True,coverage; median_nrmse<=1.10*base; p95<=1.50*base; pass_count>=base-2; negative_count<=base,True,246889779.09467483,True,within_1_percent_then_fewer_routed_then_smaller_degree_then_atom_order_then_larger_delta_then_max_log_margin_then_larger_gamma,45.290621819656025,405.9664171537142,0.7801811287568281,d6fba6afc5c676484ff6978afbaeea3bcd109568f66be7446a880481bf7265a2
outer_training,2,gamma_100__d2__atom_inverse_sqrt__delta_0.0003,100,2,inverse_sqrt,0.0003,183,183,True,0.02969915484255812,0.1798193142428959,0.02969915484255812,0.18743171856200314,177,175,658,679,246235693.19021586,5778236935.496178,2,True,coverage; median_nrmse<=1.10*base; p95<=1.50*base; pass_count>=base-2; negative_count<=base,True,246235693.19021586,True,within_1_percent_then_fewer_routed_then_smaller_degree_then_atom_order_then_larger_delta_then_max_log_margin_then_larger_gamma,45.290621819656025,405.9664171537142,0.7801811287568281,c64b8ecfd8f3161400245dd6df77aa27daffa685a3f0a23110c827af2977bbc3
outer_training,3,gamma_100__d2__atom_inverse_sqrt__delta_0.0003,100,2,inverse_sqrt,0.0003,200,200,True,0.03121699080975645,0.2266397385703058,0.03121699080975645,0.3128037195052798,194,192,667,708,173015539.74845666,5706381383.324526,3,True,coverage; median_nrmse<=1.10*base; p95<=1.50*base; pass_count>=base-2; negative_count<=base,True,173015539.74845666,True,within_1_percent_then_fewer_routed_then_smaller_degree_then_atom_order_then_larger_delta_then_max_log_margin_then_larger_gamma,45.290621819656025,405.9664171537142,0.7801811287568281,83b9308b1e5558a23bbabd3238e94864b32285139dd537295194e17d89004b46
outer_training,4,gamma_50__d2__atom_inverse_sqrt__delta_0.0003,50,2,inverse_sqrt,0.0003,207,207,True,0.028959110922443722,0.18127144331778208,0.028959110922443722,0.21186416976145642,201,199,621,662,246724937.7408109,5780090781.316883,3,True,coverage; median_nrmse<=1.10*base; p95<=1.50*base; pass_count>=base-2; negative_count<=base,True,246724937.7408109,True,within_1_percent_then_fewer_routed_then_smaller_degree_then_atom_order_then_larger_delta_then_max_log_margin_then_larger_gamma,10.546003304357257,405.9664171537142,1.4854862898949737,db78d174d3b56bbfb8a1953d706e67895e9aa4ac5bf1cb3849547d6d42eb4f13
