prior_weight,support_selection_loss_median,support_selection_loss_mean,meta_query_nrmse_median,meta_query_nrmse_mean,dataset,seed
0.0,0.014378763269633,0.0228789723696536,0.0561926364898681,0.1079076947644352,nasa_battery_capacity_reviewer_clean_inner0,0
0.001,0.0143813579343259,0.0228271244159259,0.055921372026205,0.107817196752876,nasa_battery_capacity_reviewer_clean_inner0,0
0.01,0.0143880466930568,0.0230241104691231,0.0557480063289403,0.1080208378843963,nasa_battery_capacity_reviewer_clean_inner0,0
0.1,0.0145181296393275,0.0233852612618647,0.0678788032382726,0.1270409482531249,nasa_battery_capacity_reviewer_clean_inner0,0
1.0,0.0158230923116207,0.0220175063586793,0.048422448337078,0.1526655699126422,nasa_battery_capacity_reviewer_clean_inner0,0
0.0,0.0089447405189275,0.0311128641915274,0.0564362350851297,0.1083511328324675,nasa_battery_capacity_reviewer_clean_inner0,1
0.001,0.0089489170350134,0.0313199098745826,0.060834314674139,0.1113185323774814,nasa_battery_capacity_reviewer_clean_inner0,1
0.01,0.0089716694783419,0.0316558768099639,0.0647064335644245,0.1172060724347829,nasa_battery_capacity_reviewer_clean_inner0,1
0.1,0.0090307330247014,0.0465687159521621,0.0739409662783145,0.1423770226538181,nasa_battery_capacity_reviewer_clean_inner0,1
1.0,0.013726046308875,0.0675317444474785,0.1536166816949844,0.2158977454528212,nasa_battery_capacity_reviewer_clean_inner0,1
0.0,0.0106276907026767,0.0322592050943058,0.0581148862838745,0.1093640294857323,nasa_battery_capacity_reviewer_clean_inner0,2
0.001,0.0106115131638944,0.0322349527923506,0.0598251298069953,0.1096327593550086,nasa_battery_capacity_reviewer_clean_inner0,2
0.01,0.0105879264883697,0.0327393994957674,0.0598396398127079,0.1093811262398958,nasa_battery_capacity_reviewer_clean_inner0,2
0.1,0.0104902661405503,0.0324881418637232,0.0555502418428659,0.1102277366444468,nasa_battery_capacity_reviewer_clean_inner0,2
1.0,0.0151422275230288,0.0352685948455473,0.0557759255170822,0.1388768935576081,nasa_battery_capacity_reviewer_clean_inner0,2
0.0,0.0121586127206683,0.0162782654297188,0.0554581340402364,0.1021496371831744,nasa_battery_capacity_reviewer_clean_inner0,3
0.001,0.0121579077094793,0.0162835351729881,0.0554538965225219,0.1027051217388361,nasa_battery_capacity_reviewer_clean_inner0,3
0.01,0.0121415816247463,0.0163219722599023,0.0479761380702257,0.0977824861183762,nasa_battery_capacity_reviewer_clean_inner0,3
0.1,0.012198144569993,0.0163742317963624,0.047109130769968,0.0971728041768074,nasa_battery_capacity_reviewer_clean_inner0,3
1.0,0.0138841681182384,0.0179180307895876,0.0568192433565855,0.1069583874195814,nasa_battery_capacity_reviewer_clean_inner0,3
0.0,0.0138138202019035,0.0167802323703654,0.06327217631042,0.1078554675914347,nasa_battery_capacity_reviewer_clean_inner0,4
0.001,0.0138139249756932,0.0167963164203683,0.0633005388081073,0.1080973213538527,nasa_battery_capacity_reviewer_clean_inner0,4
0.01,0.0138141778297722,0.016782211845566,0.0631897486746311,0.1081163841299712,nasa_battery_capacity_reviewer_clean_inner0,4
0.1,0.0139135308563709,0.0160502971266396,0.0636347308754921,0.1094015790149569,nasa_battery_capacity_reviewer_clean_inner0,4
1.0,0.0143581568263471,0.0248659803037298,0.0648450553417205,0.1259151175618171,nasa_battery_capacity_reviewer_clean_inner0,4
0.0,0.0222798204049468,0.0873177818284602,0.084398103877902,0.1575658675283193,nasa_battery_capacity_reviewer_clean_inner1,0
0.001,0.0222808960825204,0.0872951438941527,0.0837939418852329,0.15752953896299,nasa_battery_capacity_reviewer_clean_inner1,0
0.01,0.0222763530910015,0.0873621172067942,0.0869205668568611,0.1602253401651978,nasa_battery_capacity_reviewer_clean_inner1,0
0.1,0.0222658263519406,0.0875078623212175,0.0897232256829738,0.1620145966298878,nasa_battery_capacity_reviewer_clean_inner1,0
1.0,0.0225048866122961,0.0870680313528282,0.072760134935379,0.1359124132432043,nasa_battery_capacity_reviewer_clean_inner1,0
0.0,0.0223586242645978,0.1014248086430598,0.0626584570854902,0.1090092877857387,nasa_battery_capacity_reviewer_clean_inner1,1
0.001,0.0223596487194299,0.1015495579340495,0.0627731308341026,0.0978936273604631,nasa_battery_capacity_reviewer_clean_inner1,1
0.01,0.0223584901541471,0.101361118373461,0.062594661489129,0.1094349375925958,nasa_battery_capacity_reviewer_clean_inner1,1
0.1,0.0223584445193409,0.1018991430464666,0.0618029367178678,0.0983256069011986,nasa_battery_capacity_reviewer_clean_inner1,1
1.0,0.0223663402721285,0.1030014524440048,0.0729455351829528,0.1027500815689563,nasa_battery_capacity_reviewer_clean_inner1,1
0.0,0.0230240728706121,0.180442478871555,0.127255093306303,0.2356864404864609,nasa_battery_capacity_reviewer_clean_inner1,2
0.001,0.0230205282568931,0.180441631397116,0.127788059413433,0.2358376961201429,nasa_battery_capacity_reviewer_clean_inner1,2
0.01,0.0230072401463985,0.1804326294222846,0.1268934682011604,0.2353428164497017,nasa_battery_capacity_reviewer_clean_inner1,2
0.1,0.0229965364560484,0.1804305362602463,0.1251725293695926,0.2348095122724771,nasa_battery_capacity_reviewer_clean_inner1,2
1.0,0.0229131560772657,0.1803849106363486,0.1436809450387954,0.2303620185703039,nasa_battery_capacity_reviewer_clean_inner1,2
0.0,0.0227081421762704,0.0948200478305807,0.1257092393934726,0.1726039084605872,nasa_battery_capacity_reviewer_clean_inner1,3
0.001,0.0227078981697559,0.0949958717246772,0.1315053142607212,0.1777005563490092,nasa_battery_capacity_reviewer_clean_inner1,3
0.01,0.0227073030546307,0.0951326279900968,0.1314047873020172,0.1445786277763545,nasa_battery_capacity_reviewer_clean_inner1,3
0.1,0.0227073673158884,0.0944837850984186,0.128393042832613,0.1865041945129633,nasa_battery_capacity_reviewer_clean_inner1,3
1.0,0.022756615653634,0.0950640321825631,0.1263572983443737,0.1817457871511578,nasa_battery_capacity_reviewer_clean_inner1,3
0.0,0.022997916676104,0.0857392858888488,0.071504857391119,0.1373501690104603,nasa_battery_capacity_reviewer_clean_inner1,4
0.001,0.0229982901364564,0.0857375171035528,0.0716014765202999,0.1369919111020863,nasa_battery_capacity_reviewer_clean_inner1,4
0.01,0.022997748106718,0.08575904686586,0.0713576413691043,0.1367721240967512,nasa_battery_capacity_reviewer_clean_inner1,4
0.1,0.0229609943926334,0.086701385473134,0.0787615105509758,0.123007814399898,nasa_battery_capacity_reviewer_clean_inner1,4
1.0,0.0230244966223835,0.0889937608153559,0.0669027362018823,0.1055823075585067,nasa_battery_capacity_reviewer_clean_inner1,4
0.0,0.0153328492306172,0.0602358998003182,0.079074528068304,0.1353177102282643,nasa_battery_capacity_reviewer_clean_inner2,0
0.001,0.0153328110463917,0.0603003135838662,0.0874238535761833,0.1376488250680267,nasa_battery_capacity_reviewer_clean_inner2,0
0.01,0.0155179463326931,0.060322605917463,0.0820725075900554,0.1372994533739984,nasa_battery_capacity_reviewer_clean_inner2,0
0.1,0.0154989212751388,0.0602758520544739,0.0943695232272148,0.1433588000945747,nasa_battery_capacity_reviewer_clean_inner2,0
1.0,0.0152944512665271,0.0593546604432049,0.072051502764225,0.1837747329846024,nasa_battery_capacity_reviewer_clean_inner2,0
