prior_weight,support_selection_loss_median,support_selection_loss_mean,meta_query_nrmse_median,meta_query_nrmse_mean,dataset,seed
0.0,0.014378763269633,0.0228789723696536,0.0561926364898681,0.1079076947644352,nasa_battery_capacity_reviewer_clean_inner0,0
0.001,0.0143805402331054,0.0228510772467416,0.0559320338070392,0.107829759363085,nasa_battery_capacity_reviewer_clean_inner0,0
0.01,0.0143777001649141,0.0230006236306508,0.0563828274607658,0.1079847156070172,nasa_battery_capacity_reviewer_clean_inner0,0
0.1,0.0143530638888478,0.0231479715366731,0.0674678161740303,0.1578441299498081,nasa_battery_capacity_reviewer_clean_inner0,0
1.0,0.0144327855668962,0.0232679920372902,0.0698418132960796,0.1129542412236332,nasa_battery_capacity_reviewer_clean_inner0,0
0.0,0.0089447405189275,0.0311128641915274,0.0564362350851297,0.1083511328324675,nasa_battery_capacity_reviewer_clean_inner0,1
0.001,0.0089456476271152,0.0313024352290085,0.0600868184119463,0.1105912625789642,nasa_battery_capacity_reviewer_clean_inner0,1
0.01,0.0089636172633618,0.0313394447948667,0.059876000508666,0.1107841432094574,nasa_battery_capacity_reviewer_clean_inner0,1
0.1,0.0090148958843201,0.0312436232561594,0.0573340635746717,0.1102529922500252,nasa_battery_capacity_reviewer_clean_inner0,1
1.0,0.0106778559274971,0.0326904422181542,0.0601172391325235,0.1446831449866294,nasa_battery_capacity_reviewer_clean_inner0,1
0.0,0.0106276907026767,0.0322592050943058,0.0581148862838745,0.1093640294857323,nasa_battery_capacity_reviewer_clean_inner0,2
0.001,0.0106115951202809,0.0320340369071345,0.0636832676827907,0.1110885655507445,nasa_battery_capacity_reviewer_clean_inner0,2
0.01,0.0105873430147767,0.0318931754445657,0.0668814778327941,0.1132738208398222,nasa_battery_capacity_reviewer_clean_inner0,2
0.1,0.010471022222191,0.0309174551366595,0.0481971316039562,0.0978716150857508,nasa_battery_capacity_reviewer_clean_inner0,2
1.0,0.0150918634608387,0.0311658414721023,0.0689061917364597,0.1568024815060198,nasa_battery_capacity_reviewer_clean_inner0,2
0.0,0.0121586127206683,0.0162782654297188,0.0554581340402364,0.1021496371831744,nasa_battery_capacity_reviewer_clean_inner0,3
0.001,0.0121372351422905,0.0162772744733956,0.0553573295474052,0.1024658940732479,nasa_battery_capacity_reviewer_clean_inner0,3
0.01,0.0122846895828843,0.0161988777326769,0.0570134911686182,0.1107846971135586,nasa_battery_capacity_reviewer_clean_inner0,3
0.1,0.0164242330938577,0.0186253633801243,0.046116279438138,0.1258368378039449,nasa_battery_capacity_reviewer_clean_inner0,3
1.0,0.016585798934102,0.0217313372413627,0.0597991608083248,0.1525710341520607,nasa_battery_capacity_reviewer_clean_inner0,3
0.0,0.0138138202019035,0.0167802323703654,0.06327217631042,0.1078554675914347,nasa_battery_capacity_reviewer_clean_inner0,4
0.001,0.0138136181049048,0.0168475641621625,0.0633137989789247,0.1079571363516151,nasa_battery_capacity_reviewer_clean_inner0,4
0.01,0.0138141196221113,0.0167949449678417,0.0632181204855442,0.108641892671585,nasa_battery_capacity_reviewer_clean_inner0,4
0.1,0.0138130066916346,0.0168234799202764,0.0626553110778331,0.1055422453209757,nasa_battery_capacity_reviewer_clean_inner0,4
1.0,0.0136104701086878,0.0168833606294356,0.0538103822618722,0.101451545022428,nasa_battery_capacity_reviewer_clean_inner0,4
0.0,0.0222798204049468,0.0873177818284602,0.084398103877902,0.1575658675283193,nasa_battery_capacity_reviewer_clean_inner1,0
0.001,0.0222799377515912,0.0873945388157153,0.0841828733682632,0.1561670184601098,nasa_battery_capacity_reviewer_clean_inner1,0
0.01,0.0222266018390655,0.0874109324795426,0.0837438832968473,0.1675511067733168,nasa_battery_capacity_reviewer_clean_inner1,0
0.1,0.0220699841156601,0.089884734028601,0.1135846152901649,0.1336024804040789,nasa_battery_capacity_reviewer_clean_inner1,0
1.0,0.0224476885050535,0.1189078971510753,0.1173382066190242,0.3206170285120606,nasa_battery_capacity_reviewer_clean_inner1,0
0.0,0.0223586242645978,0.1014248086430598,0.0626584570854902,0.1090092877857387,nasa_battery_capacity_reviewer_clean_inner1,1
0.001,0.0223579071462154,0.101475338160526,0.0617135986685752,0.1090600187890231,nasa_battery_capacity_reviewer_clean_inner1,1
0.01,0.0223592771217226,0.1014445683103986,0.0596710667014122,0.105547659099102,nasa_battery_capacity_reviewer_clean_inner1,1
0.1,0.022215461358428,0.1025785176025237,0.0794086121022701,0.1121155968867242,nasa_battery_capacity_reviewer_clean_inner1,1
1.0,0.0223831143230199,0.1097168807755224,0.0767830200493335,0.1577631379477679,nasa_battery_capacity_reviewer_clean_inner1,1
0.0,0.0230240728706121,0.180442478871555,0.127255093306303,0.2356864404864609,nasa_battery_capacity_reviewer_clean_inner1,2
0.001,0.0230157300829887,0.1804398374806624,0.1272382400929927,0.2355448380112648,nasa_battery_capacity_reviewer_clean_inner1,2
0.01,0.0230184039101004,0.1804303003300447,0.1270578391849994,0.2354409452527761,nasa_battery_capacity_reviewer_clean_inner1,2
0.1,0.0229167221114039,0.1803522486443398,0.1516587063670158,0.2479031994007527,nasa_battery_capacity_reviewer_clean_inner1,2
1.0,0.0230038678273558,0.1800621668517124,0.1280254125595092,0.2351420554332435,nasa_battery_capacity_reviewer_clean_inner1,2
0.0,0.0227081421762704,0.0948200478305807,0.1257092393934726,0.1726039084605872,nasa_battery_capacity_reviewer_clean_inner1,3
0.001,0.0227071391418576,0.0949120727891568,0.13123844191432,0.1897469819523394,nasa_battery_capacity_reviewer_clean_inner1,3
0.01,0.0227076951414346,0.0948149969335645,0.131114013493061,0.1428976533934474,nasa_battery_capacity_reviewer_clean_inner1,3
0.1,0.0226993067190051,0.0953673453186638,0.1160209216177463,0.1718471045605838,nasa_battery_capacity_reviewer_clean_inner1,3
1.0,0.0227096052840352,0.0958251598494825,0.1591552570462227,0.1594978678040206,nasa_battery_capacity_reviewer_clean_inner1,3
0.0,0.022997916676104,0.0857392858888488,0.071504857391119,0.1373501690104603,nasa_battery_capacity_reviewer_clean_inner1,4
0.001,0.0229979110881686,0.0857330911239842,0.0720572210848331,0.1376972584985196,nasa_battery_capacity_reviewer_clean_inner1,4
0.01,0.0229958491399884,0.0857635900902096,0.0717383474111557,0.1374058593064546,nasa_battery_capacity_reviewer_clean_inner1,4
0.1,0.0229906272143125,0.0863690784317441,0.0695835724472999,0.1357515747658908,nasa_battery_capacity_reviewer_clean_inner1,4
1.0,0.0229336889460682,0.0896195365930907,0.1090009845793247,0.1631527976132929,nasa_battery_capacity_reviewer_clean_inner1,4
0.0,0.0153328492306172,0.0602358998003182,0.079074528068304,0.1353177102282643,nasa_battery_capacity_reviewer_clean_inner2,0
0.001,0.0153378099203109,0.0602709827144281,0.0874236673116684,0.1377451815642416,nasa_battery_capacity_reviewer_clean_inner2,0
0.01,0.0153672462329268,0.0603600416652625,0.0719252042472362,0.1322210733778774,nasa_battery_capacity_reviewer_clean_inner2,0
0.1,0.0156413177028298,0.0604073164722649,0.0945225432515144,0.1425401074811816,nasa_battery_capacity_reviewer_clean_inner2,0
1.0,0.0176133075729012,0.0604774286330211,0.0610100012272596,0.1633877190761268,nasa_battery_capacity_reviewer_clean_inner2,0
0.0,0.0115110352635383,0.0827752867262461,0.0774678066372871,0.130431801546365,nasa_battery_capacity_reviewer_clean_inner2,1
0.001,0.0115121686831116,0.0826437554715084,0.0772279612720012,0.1302819051779806,nasa_battery_capacity_reviewer_clean_inner2,1
0.01,0.0115083982236683,0.0828373056501732,0.0772483348846435,0.1303051528520882,nasa_battery_capacity_reviewer_clean_inner2,1
0.1,0.011515190359205,0.0826133067603223,0.0769598186016082,0.1297197416424751,nasa_battery_capacity_reviewer_clean_inner2,1
1.0,0.0122248027473688,0.0828781080490443,0.0705168321728706,0.1227830927819013,nasa_battery_capacity_reviewer_clean_inner2,1
0.0,0.0113313724286854,0.0705681641120463,0.0834820978343486,0.1305744000710547,nasa_battery_capacity_reviewer_clean_inner2,2
0.001,0.0113324960693717,0.0705682673069532,0.0835041515529155,0.1314539858140051,nasa_battery_capacity_reviewer_clean_inner2,2
0.01,0.0113376821391284,0.0705488432722631,0.0836774669587612,0.1315404884517192,nasa_battery_capacity_reviewer_clean_inner2,2
0.1,0.0120868496596813,0.070749020378571,0.0919157490134239,0.1335876905359327,nasa_battery_capacity_reviewer_clean_inner2,2
1.0,0.0139869539998471,0.0714826530238497,0.0930297449231147,0.150931155309081,nasa_battery_capacity_reviewer_clean_inner2,2
0.0,0.0149099170230329,0.053619016893208,0.072349164634943,0.1312600914388895,nasa_battery_capacity_reviewer_clean_inner2,3
0.001,0.0149192605167627,0.0535970577038824,0.0725407116115093,0.133385092485696,nasa_battery_capacity_reviewer_clean_inner2,3
0.01,0.016281065531075,0.0542576542284223,0.0821208506822586,0.1348340325057506,nasa_battery_capacity_reviewer_clean_inner2,3
0.1,0.0205196430906653,0.0555122807054431,0.089040994644165,0.14590062526986,nasa_battery_capacity_reviewer_clean_inner2,3
1.0,0.0171407489106059,0.0562360949770663,0.0999291650950908,0.1816887794993817,nasa_battery_capacity_reviewer_clean_inner2,3
0.0,0.0143084023147821,0.0580336728016845,0.1837266981601715,0.1847216612659394,nasa_battery_capacity_reviewer_clean_inner2,4
0.001,0.0143071450293064,0.0583718935158685,0.1835707128047943,0.1855713003315031,nasa_battery_capacity_reviewer_clean_inner2,4
0.01,0.0142932566814124,0.0579886377454386,0.1828348785638809,0.1855088267475366,nasa_battery_capacity_reviewer_clean_inner2,4
0.1,0.014216664712876,0.0579801603380474,0.1789406239986419,0.1823877352289855,nasa_battery_capacity_reviewer_clean_inner2,4
