left_offset,right_offset,q0_log_pressure_at_reference_spearman,effective_delta_hvap_kj_mol_spearman,effective_delta_cp_j_mol_k_spearman,physical_q_distance_spearman
0,1,0.9988479176365457,0.9825475307551947,0.8207519303934634,0.8924732956299198
0,2,0.9986980880676803,0.9737027702417073,0.8515643812306359,0.8755866175494187
0,3,0.998572873356557,0.9732083326644514,0.697434703738783,0.8546209052685751
1,2,0.9992947308151264,0.9765345490932636,0.8162136997736503,0.9034277453423497
1,3,0.9993027573991728,0.9828054516558845,0.7785149749303025,0.8886098127062959
2,3,0.9992529925780854,0.9758415873372611,0.700253104950262,0.8928048293178541
