prior_weight,support_loss_median,meta_query_nrmse_median,prediction_eligible,q_median_of_splits,q_min_split,capacity_median_of_splits,capacity_min_split,early_fade_median_of_splits,early_fade_min_split,representation_eligible,eligible
0.0,0.014378763269633,0.072349164634943,True,0.6847290640394088,0.40093048713738366,0.6309523809523812,0.5595238095238095,0.6904761904761905,-0.023809523809523815,False,False
0.001,0.0154490494169294,0.089167833328247,False,0.6280788177339901,0.379584017515052,0.5952380952380953,0.4404761904761905,0.7380952380952382,-0.07142857142857144,False,False
0.01,0.0175942946225404,0.1141625195741653,False,0.5290093048713738,0.2068965517241379,0.6904761904761907,0.5476190476190477,0.5714285714285715,0.10714285714285718,False,False
0.1,0.0200352622196078,0.1773801296949386,False,0.4321291735084839,0.07717569786535303,0.5952380952380953,0.3928571428571429,0.28571428571428575,-0.07142857142857145,False,False
1.0,0.0289190830662846,0.2341116890311241,False,0.342911877394636,-0.019430760810071147,0.3928571428571429,-0.023809523809523822,0.04761904761904763,0.03571428571428572,False,False
