prior_weight,support_selection_loss_median,support_selection_loss_mean,meta_query_nrmse_median,meta_query_nrmse_mean,dataset,seed
0.0,0.014378763269633,0.0228789723696536,0.0561926364898681,0.1079076947644352,nasa_battery_capacity_reviewer_clean_inner0,0
0.001,0.015622375998646,0.0233782402247015,0.0675044674426317,0.1310961535200476,nasa_battery_capacity_reviewer_clean_inner0,0
0.01,0.0175942946225404,0.0285575124216848,0.1141625195741653,0.2013876587152481,nasa_battery_capacity_reviewer_clean_inner0,0
0.1,0.0176374921575188,0.0252811551326885,0.1854340806603431,0.2851817402988672,nasa_battery_capacity_reviewer_clean_inner0,0
1.0,0.0204839957877993,0.0499965236303978,0.1754772253334522,0.412165189627558,nasa_battery_capacity_reviewer_clean_inner0,0
0.0,0.0089447405189275,0.0311128641915274,0.0564362350851297,0.1083511328324675,nasa_battery_capacity_reviewer_clean_inner0,1
0.001,0.0090975547209382,0.0317161087150452,0.0941934920847415,0.1486311512999236,nasa_battery_capacity_reviewer_clean_inner0,1
0.01,0.0109281232580542,0.0397342266369378,0.0893110260367393,0.173174210358411,nasa_battery_capacity_reviewer_clean_inner0,1
0.1,0.0174860674887895,0.0786975847076973,0.1113270223140716,0.2405568086542189,nasa_battery_capacity_reviewer_clean_inner0,1
1.0,0.0270982589572668,0.1018705355963902,0.1564802005887031,0.2501389812678098,nasa_battery_capacity_reviewer_clean_inner0,1
0.0,0.0106276907026767,0.0322592050943058,0.0581148862838745,0.1093640294857323,nasa_battery_capacity_reviewer_clean_inner0,2
0.001,0.0106651461683213,0.0304737940059567,0.0575943235307931,0.1128773912787437,nasa_battery_capacity_reviewer_clean_inner0,2
0.01,0.0121185267344117,0.0326557580410735,0.0929865092039108,0.1622256902046501,nasa_battery_capacity_reviewer_clean_inner0,2
0.1,0.0148921725340187,0.0353559104914893,0.0902559086680412,0.2178774303756654,nasa_battery_capacity_reviewer_clean_inner0,2
1.0,0.0189393935725092,0.0530015838739927,0.2544645369052887,0.2895251456648111,nasa_battery_capacity_reviewer_clean_inner0,2
0.0,0.0121586127206683,0.0162782654297188,0.0554581340402364,0.1021496371831744,nasa_battery_capacity_reviewer_clean_inner0,3
0.001,0.01304537570104,0.0163956035103183,0.0569215472787618,0.1059610098600387,nasa_battery_capacity_reviewer_clean_inner0,3
