dataset,prepared_summary,method,loss_preset,seed,q_dim,epochs,cal_steps,cal_init_mode,cal_num_starts,cal_selection_ratio,cal_selection_min_rows,cal_refine_steps,cal_refine_only_after_selection,support_ratio,support_split_mode,support_order_column,batch_size,hidden_sizes,max_train_per_label,max_test_per_label,subsample_seed,q_training_split_mode,train_rows,test_rows,train_labels,test_labels,support_rows,query_rows,macro_mse,macro_rmse,macro_mae,macro_nrmse,macro_r2,reference_mse,reference_rmse,reference_mae,reference_nrmse,response_continuity_auc,response_trustworthiness_auc,response_knn_overlap_auc,response_distance_stress,response_distance_pearson,response_distance_spearman,response_local_log_distortion_mean,response_local_log_distortion_median,response_local_log_distortion_p95,response_local_collapse_rate,response_local_tear_rate,acquisition_distance_stress,acquisition_distance_pearson,acquisition_distance_spearman,effective_rank,wall_time_seconds,result_path
nasa_battery_capacity_reviewer_clean_inner0,data/real_datasets2/prepared/nasa_battery_reviewer_clean_20260825/inner_prepared_datasets.json,prefix_q_mse_step1,mse,0,4,1000,200,prior_random,4,0.25,24,50,True,0.3,prefix,discharge_index,256,"256,128",0,0,20260825,prefix,711,480,8,5,143,337,0.06749464143394698,0.19723821692370183,0.153289734036202,2.18287674599225,-5.461795669485825,0.11986246092387372,0.34621158404055996,0.2514337246425074,1.396949775512263,0.5333333333333333,0.7000000000000001,0.5,0.5140305652286716,-0.31511345142375274,0.18787878787878787,0.6116694870832444,0.629523133030131,1.102011540318483,0.4,0.1,0.5804357755529916,-0.41618556082141195,-0.2606060606060606,1.8097058753790924,16.895181740168482,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_mse_step1/seed0_q4_53269dab9acb/result.json
nasa_battery_capacity_reviewer_clean_inner0,data/real_datasets2/prepared/nasa_battery_reviewer_clean_20260825/inner_prepared_datasets.json,prefix_q_mse_step1,mse,1,4,1000,200,prior_random,4,0.25,24,50,True,0.3,prefix,discharge_index,256,"256,128",0,0,20260825,prefix,711,480,8,5,143,337,0.06441819871310793,0.18969879385986882,0.16566425199933713,2.2008817837528722,-7.841324371334804,0.11631585493796888,0.3410511031179475,0.25651570544398505,1.3761274431620716,0.6666666666666667,0.6333333333333333,0.5,0.3483683750840589,0.24965468717033346,0.2727272727272727,0.33610324232127076,0.2699933896635177,0.7941605897366079,0.2,0.0,0.4069964529813477,0.13392792616558466,-0.2606060606060606,1.838925578255765,14.434566744137555,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_mse_step1/seed1_q4_9c7fa189bd19/result.json
nasa_battery_capacity_reviewer_clean_inner0,data/real_datasets2/prepared/nasa_battery_reviewer_clean_20260825/inner_prepared_datasets.json,prefix_q_mse_step1,mse,2,4,1000,200,prior_random,4,0.25,24,50,True,0.3,prefix,discharge_index,256,"256,128",0,0,20260825,prefix,711,480,8,5,143,337,0.021913342055560843,0.1310241818176232,0.10327519915059775,1.98887042490252,-4.947384558036323,0.02879441102386288,0.16968916000694587,0.11366998795585745,0.6846889154084358,0.5666666666666667,0.7,0.35,0.32886448875892366,0.05378659420684138,0.32121212121212117,0.34201062936725696,0.3044802431314527,0.8267284995679873,0.1,0.1,0.39940873479542766,-0.051661861022700185,0.01818181818181818,2.4722986881611018,14.907204248942435,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_mse_step1/seed2_q4_1b9ec7a4d880/result.json
nasa_battery_capacity_reviewer_clean_inner0,data/real_datasets2/prepared/nasa_battery_reviewer_clean_20260825/inner_prepared_datasets.json,prefix_q_mse_step1,mse,3,4,1000,200,prior_random,4,0.25,24,50,True,0.3,prefix,discharge_index,256,"256,128",0,0,20260825,prefix,711,480,8,5,143,337,0.06206068673507287,0.22037100969255893,0.18512461719733828,3.207483035294009,-11.417440145037522,0.10411947007439931,0.3226754872536792,0.2603347773721735,1.3019825744176396,0.7666666666666667,0.8,0.6000000000000001,0.309248822352281,0.31961498631015495,0.5757575757575757,0.3400572638942785,0.2945768264713732,0.6719020721699072,0.1,0.0,0.3815301912588588,0.15065256514441372,-0.10303030303030303,2.0087763374174212,15.512001516995952,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_mse_step1/seed3_q4_3cefe6b920da/result.json
nasa_battery_capacity_reviewer_clean_inner0,data/real_datasets2/prepared/nasa_battery_reviewer_clean_20260825/inner_prepared_datasets.json,prefix_q_mse_step1,mse,4,4,1000,200,prior_random,4,0.25,24,50,True,0.3,prefix,discharge_index,256,"256,128",0,0,20260825,prefix,711,480,8,5,143,337,0.030915751931661028,0.14564595665543623,0.12293599768966476,2.339228161321271,-6.662196347484286,0.05080980413542696,0.22541030175088927,0.1599191940149143,0.9095214745678933,0.6666666666666667,0.6000000000000001,0.55,0.3908277417689572,0.4341699644083962,0.2606060606060606,0.41909853413165365,0.3980702237756417,0.8288968621874251,0.1,0.0,0.42338799553396367,0.34004777839169464,-0.17575757575757575,1.6859913151245036,14.628162492066622,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_mse_step1/seed4_q4_c0cf535edf56/result.json
nasa_battery_capacity_reviewer_clean_inner0,data/real_datasets2/prepared/nasa_battery_reviewer_clean_20260825/inner_prepared_datasets.json,prefix_q_continuity_step1,continuity,0,4,1000,200,prior_random,4,0.25,24,50,True,0.3,prefix,discharge_index,256,"256,128",0,0,20260825,prefix,711,480,8,5,143,337,0.05949672125993168,0.17755169359990858,0.15716336865072683,2.3742535963951408,-8.512556163991711,0.11532640451510856,0.3395974153539873,0.25438142017370163,1.370261871675904,0.7,0.6666666666666667,0.6,0.2496300613140722,0.5601986188932085,0.33333333333333326,0.23015972183657435,0.19779469250092013,0.46009762523145703,0.0,0.0,0.28308075939427346,0.520194401483071,-0.07878787878787878,2.4239499350230336,20.930197743931785,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_continuity_step1/seed0_q4_f1c176eb43c0/result.json
nasa_battery_capacity_reviewer_clean_inner0,data/real_datasets2/prepared/nasa_battery_reviewer_clean_20260825/inner_prepared_datasets.json,prefix_q_continuity_step1,continuity,1,4,1000,200,prior_random,4,0.25,24,50,True,0.3,prefix,discharge_index,256,"256,128",0,0,20260825,prefix,711,480,8,5,143,337,0.05079221210319029,0.17104200888969293,0.1461250889501182,1.958432219366054,-5.393574892407904,0.09417276807263121,0.306875818650853,0.23560187211730005,1.2382315489600384,0.5333333333333334,0.5666666666666667,0.3,0.3936396993543129,-0.0827260826875561,0.16363636363636364,0.41345254488407546,0.3152235688498385,0.9659444069835268,0.1,0.1,0.4643196692821782,-0.19966719448464673,-0.309090909090909,2.141442205902912,17.620490859961137,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_continuity_step1/seed1_q4_1edc9eca0f77/result.json
nasa_battery_capacity_reviewer_clean_inner0,data/real_datasets2/prepared/nasa_battery_reviewer_clean_20260825/inner_prepared_datasets.json,prefix_q_continuity_step1,continuity,2,4,1000,200,prior_random,4,0.25,24,50,True,0.3,prefix,discharge_index,256,"256,128",0,0,20260825,prefix,711,480,8,5,143,337,0.0665305871179942,0.21780167035332987,0.18543634996623742,3.0523516212686195,-10.873777574501352,0.11819602480669633,0.3437964874845238,0.26996797765397884,1.3872049583330668,0.23333333333333334,0.19999999999999996,0.1,0.3751896091476458,-0.5695942189647067,-0.5151515151515151,0.34960041238635425,0.2621854024521766,0.8155096632725345,0.0,0.1,0.45281911366345107,-0.6136919061534378,-0.7454545454545454,2.9927922981640376,18.64513107901439,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_continuity_step1/seed2_q4_3b0f3149b9a1/result.json
nasa_battery_capacity_reviewer_clean_inner0,data/real_datasets2/prepared/nasa_battery_reviewer_clean_20260825/inner_prepared_datasets.json,prefix_q_continuity_step1,continuity,3,4,1000,200,prior_random,4,0.25,24,50,True,0.3,prefix,discharge_index,256,"256,128",0,0,20260825,prefix,711,480,8,5,143,337,0.07683601520189891,0.24243348289073924,0.20302476051968238,3.598748495143357,-15.2916497488401,0.1310929933508465,0.36206766405030777,0.28521467351771956,1.4609284187211704,0.6333333333333333,0.6333333333333333,0.5,0.27227621921089107,0.07763759535976915,0.2121212121212121,0.24539149800438848,0.151738968257499,0.7606384375995586,0.1,0.1,0.32944676733377976,0.10310548326539559,0.24848484848484845,3.2078775415384397,18.915569791104645,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_continuity_step1/seed3_q4_e0e9b1822608/result.json
nasa_battery_capacity_reviewer_clean_inner0,data/real_datasets2/prepared/nasa_battery_reviewer_clean_20260825/inner_prepared_datasets.json,prefix_q_continuity_step1,continuity,4,4,1000,200,prior_random,4,0.25,24,50,True,0.3,prefix,discharge_index,256,"256,128",0,0,20260825,prefix,711,480,8,5,143,337,0.09176740199915757,0.20655663912051633,0.18302171185549215,2.5332507957880526,-12.516261795627559,0.18111458828411062,0.42557559643864756,0.3143081898505327,1.7171803640135201,0.4666666666666667,0.4666666666666667,0.25,0.31995138068017787,0.17279271551827885,-0.05454545454545454,0.33382811454646993,0.34033924919382763,0.6221692779707781,0.0,0.0,0.36213195425358485,0.18218340873754224,0.11515151515151514,2.140881781631386,19.22758896299638,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner0/prefix_q_continuity_step1/seed4_q4_0c999c1343bb/result.json
